screening,Q109,physical_contact1,physical_contact2,physical_contact3,physical_contact4,physical_contact5,physical_hygiene1,physical_hygiene2,physical_hygiene3,physical_hygiene4,physical_hygiene5,policy_support1,policy_support2,policy_support3,policy_support4,policy_support5,generosity1,generosity2,generosity3,generosity4,psych_wellbeing1,psych_wellbeing2,collective_narcis1,collective_narcis2,collective_narcis3,national_identity1,national_identity2,conspiracy_theories1,conspiracy_theories2,conspiracy_theories3,conspiracy_theories4,open-mindedness1,open-mindedness2,open-mindedness3,open-mindedness4,open-mindedness5,open-mindedness6,morality_as_cooperation1,morality_as_cooperation2,morality_as_cooperation3,morality_as_cooperation4,morality_as_cooperation5,morality_as_cooperation6,morality_as_cooperation7,trait_optimism1,trait_optimism2,social_belonging1,social_belonging2,social_belonging3,social_belonging4,trait_self-control1,trait_self-control2,trait_self-control3,trait_self-control4,self_esteem,Q108,narcissism1,narcissism2,narcissism3,narcissism4,narcissism5,narcissism6,moral_identity1,moral_identity2,moral_identity3,moral_identity4,moral_identity5,moral_identity6,moral_identity7,moral_identity8,moral_identity9,moral_identity10,risk_perception1,risk_perception2,political_ideology,moral_circle,moral_circle1,health,CRT1,CRT2,CRT3,CRT4,CRT5,CRT6,sex,Other (please specify),age,marital,children,employment,Other (please specify),ladder_instro,ladder_picture,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,Q110
1,1,100,0,,100,100,70,,70,70,,100,,100,100,100,,,,,100,90,,,,,,,,,,0,10,10,10,0,,,,,10,,,,10,10,10,10,10,10,8,8,7,,8,,,,,,,,,,,,,,,,,,0,,10,,16,10,,,,,,,1,,25,2,0,2,,,,7,1,1,1,213,
1,1,100,100,70,100,100,60,60,60,60,,70,90,20,100,100,0,0,0,,70,70,3,5,5,8,8,2,2,2,2,0,10,10,10,0,0,2,7,10,10,7,10,10,10,8,7,7,,,6,7,4,2,8,,4,,2,7,6,4,8,8,0,0,6,4,0,0,0,8,60,80,4,,16,6,25,100,7,4,25,15,1,,23 days younger than you,1,0,6,CIO and free lancing,,,3,1,1,1,213,
1,1,60,50,80,50,50,50,50,50,,,50,10,50,50,50,51,73,31,60,10,50,8,5,,9,,5,,,,,,5,,6,,,,5,,,,,,,,,,,2,5,2,5,5,,,,,,,5,,6,,,,,,5,,,20,10,5,,1,,50,3,,,,,1,,33,1,3,1,,,,4,1,1,1,213,
1,1,80,20,70,80,100,90,100,50,,100,,100,30,100,80,,100,,,80,70,,,,10,,0,,0,0,3,8,8,8,1,3,0,0,,,,10,9,,10,,,5,10,6,7,7,,10,,1,0,0,,0,5,7,7,,3,6,,6,4,7,,70,70,3,,16,10,50,300,7,4,25,15,1,,51,2,2,1,,,,2,1,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,30,100,100,100,100,100,70,0,80,60,10,90,,50,50,,,20,20,1,1,2,8,,0,2,0,0,1,10,10,10,0,0,8,,8,8,7,,7,,,7,7,7,9,8,8,2,6,,,2,0,1,7,1,1,10,10,2,0,2,2,1,7,9,8,,,,,11,8,25,3,4,2,27,15,2,,53,3,0,1,,,,3,1,1,1,213,
1,1,100,0,100,100,100,100,100,100,100,100,90,90,0,100,,40,60,,,80,90,,,,9,,0,0,0,0,2,10,10,10,0,0,0,0,0,0,0,0,0,9,8,8,9,9,9,8,9,2,2,8,,2,0,1,0,1,0,9,9,0,0,,7,2,0,0,7,90,100,7,,14,7,25,300,4,4,26,15,1,,50,3,1,6,Self employed,,,3,1,1,1,213,
1,1,100,0,70,100,100,100,100,100,70,100,100,100,100,100,100,40,40,20,,70,70,3,2,0,10,8,4,3,3,3,3,8,8,8,2,1,7,9,8,9,2,4,,6,5,4,2,6,6,6,7,3,4,2,,0,0,0,6,0,1,,4,4,4,4,4,4,4,3,3,60,60,3,,16,9,25,3,7,4,25,20,2,,29,1,0,6,Freelance? Artist - sporadic income.,,,7,1,1,1,213,
1,1,,,,,,,,,,,100,100,100,100,100,,,,,60,60,2,0,0,10,10,,,,,,,,,,,,,,,,,,7,,6,2,3,6,,,,,,,0,0,0,,0,0,,,,,,,,,,,70,70,,,16,,,,,,,,,,,,,,,,,,,,,,
1,1,90,10,100,90,90,70,70,100,50,80,90,100,70,70,80,0,100,0,,50,30,5,8,5,7,5,5,5,5,5,5,9,8,9,1,1,2,1,8,5,5,9,5,10,9,7,7,8,8,1,8,3,2,9,,3,8,6,7,2,2,9,8,8,1,8,7,1,5,8,5,40,50,5,,16,8,25,300,4,4,25,20,2,,35,3,1,1,,,,6,1,1,1,213,
1,1,100,0,60,80,100,100,100,100,20,80,80,80,90,100,100,0,100,0,,30,40,4,3,1,9,3,0,0,0,0,1,8,8,8,0,1,4,4,2,5,4,8,5,3,4,2,3,4,3,2,2,2,7,3,,6,4,6,4,2,0,7,7,2,0,2,3,2,2,1,6,30,,2,,11,9,25,300,7,4,25,15,1,,50,2,1,1,,,,2,1,1,1,213,
1,1,100,0,100,100,100,,70,,70,,50,100,80,100,100,0,50,50,,70,50,1,5,5,8,7,0,0,0,0,0,10,9,9,0,1,5,8,8,8,5,4,4,10,10,10,9,9,10,5,8,6,2,10,,2,7,2,8,8,5,10,10,,0,6,,10,6,6,8,70,70,2,,16,5,25,3,7,4,25,15,2,,32,3,1,4,,,,3,1,1,1,213,
1,1,90,0,60,70,100,60,80,70,60,60,80,100,100,100,90,0,70,30,,70,60,5,,2,1,1,1,2,0,0,4,10,10,10,0,4,6,4,4,6,6,6,6,6,4,6,7,7,10,4,6,8,6,3,,,,,4,3,6,6,6,4,1,2,7,4,6,6,6,60,70,1,,8,7,50,3,4,4,13,,2,,33,1,0,1,,,,5,1,1,1,213,
1,1,100,0,80,100,100,100,100,100,30,100,100,90,20,100,100,0,100,0,100,60,80,2,5,1,10,10,0,0,0,0,1,10,10,10,0,0,2,8,8,8,1,1,0,6,7,6,8,8,8,7,6,8,2,8,,7,3,5,5,5,0,10,10,0,0,4,8,0,0,8,9,90,90,2,,11,8,,,,,,,2,,45,2,1,6,Consultant ,,,3,1,1,1,213,
