RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,marit_status_other,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
27.04.2020 22:00:50,797,CROATIA,HR,7,6,5,9,9,10,10,10,10,10,10,8,7,8,6,50,50,0,8,6,5,5,5,10,10,6,0,2,3,3,10,10,10,0,1,9,6,6,6,6,9,7,10,8,10,10,10,10,6,6,7,4,7,4,7,6,6,6,9,7,8,6,7,6,6,2,1,8,5,50,50,10,11,10,25,3,7,1,,20,2,,0,4,,4,1,2,2,213,0
27.04.2020 22:11:27,697,CROATIA,HR,2,2,2,3,8,5,5,8,7,8,8,8,9,9,9,70,20,10,7,6,2,5,3,8,7,2,0,1,1,3,7,8,8,1,7,4,7,6,8,7,5,4,6,7,7,7,8,9,8,8,2,7,7,1,5,2,6,8,3,8,5,3,2,5,7,7,3,3,6,20,30,2,2,7,25,3,7,1,,42,1,,0,1,,5,1,1,1,213,0
27.04.2020 23:38:49,1069,CROATIA,HR,10,1,10,9,10,8,9,10,9,10,10,10,10,10,10,0,80,20,1,3,3,5,5,10,8,6,0,0,1,4,10,10,10,0,0,10,6,10,10,6,10,10,3,4,8,8,8,10,4,5,6,2,1,0,4,0,1,0,0,10,10,5,0,7,5,0,1,5,10,50,50,5,4,7,NA,3,7,2,,40,1,,0,1,,8,1,1,1,213,0
27.04.2020 23:49:53,982,CROATIA,HR,10,8,10,10,10,7,8,10,5,9,6,10,5,10,10,0,75,25,2,5,0,5,5,10,5,0,6,0,5,0,10,10,10,0,0,10,10,10,8,5,5,10,5,6,5,4,4,5,5,8,5,3,5,5,6,0,5,5,5,8,8,5,5,7,6,4,3,5,8,10,10,4,5,3,50,3,7,1,,50,3,,2,1,,4,1,1,1,213,0
28.04.2020 00:09:21,662,CROATIA,HR,10,0,8,8,10,8,8,10,7,10,8,7,6,8,10,0,50,50,5,6,2,0,0,10,5,2,1,2,1,5,10,8,8,0,1,8,10,10,9,6,4,6,8,8,7,9,7,8,6,8,3,5,6,7,6,2,1,5,5,8,7,3,0,6,6,3,4,4,8,20,40,1,1,6,50,3,4,2,,51,3,,3,2,,5,1,1,1,213,0
28.04.2020 03:48:53,24851,CROATIA,HR,8,0,5,6,10,10,10,10,0,10,0,0,0,0,5,80,20,0,8,5,5,7,5,10,10,10,10,10,10,4,10,10,10,0,0,10,10,10,10,10,5,10,10,10,8,8,7,4,7,7,5,2,6,3,7,0,6,5,1,10,10,8,0,10,7,0,10,10,10,0,30,5,16,9,50,300,4,2,,51,1,,0,6,,5,1,1,1,213,0
28.04.2020 06:13:27,1247,CROATIA,HR,8,7,5,4,5,6,8,8,5,10,9,9,6,10,9,71,18,11,7,7,5,5,5,0,0,10,10,10,10,7,10,8,7,3,6,7,6,6,6,7,7,7,8,8,9,6,9,9,7,8,6,5,7,5,5,5,5,5,5,7,5,5,4,5,5,6,5,5,6,10,20,5,10,5,50,3,4,1,,54,3,,1,6,,6,2,1,1,213,0
28.04.2020 09:08:56,1372,CROATIA,HR,10,10,10,10,10,10,10,10,10,8,0,0,10,10,10,70,30,0,4,5,0,0,0,10,0,0,0,0,0,10,10,10,10,0,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,6,6,6,0,4,6,0,0,9,8,0,0,7,0,0,0,0,10,50,50,6,9,5,50,300,7,1,,55,3,,2,1,,6,1,1,1,213,10
28.04.2020 09:15:38,775,CROATIA,HR,10,0,5,9,9,7,7,5,0,1,9,9,1,9,9,0,100,0,5,5,5,5,5,10,5,2,0,0,0,10,10,10,10,0,0,5,5,10,7,5,5,10,9,9,8,7,8,8,6,5,5,2,7,0,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,50,50,3,5,8,25,1,8,1,,56,3,,3,1,,4,1,2,1,213,0
28.04.2020 09:16:24,971,CROATIA,HR,10,10,10,10,10,8,9,10,8,10,8,8,9,10,8,50,50,0,8,8,8,5,5,10,6,0,0,0,0,5,9,5,5,0,5,5,5,5,5,5,8,5,10,10,8,6,8,8,6,5,5,7,5,3,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,30,70,1,1,8,25,3,7,2,,67,4,widow,2,5,,6,1,2,1,213,0
28.04.2020 09:17:33,1381,CROATIA,HR,10,0,10,10,10,10,10,10,8,8,10,9,10,10,10,50,25,25,8,7,10,10,10,10,10,7,0,0,0,0,10,10,10,0,0,10,10,10,10,8,10,10,8,10,10,8,7,10,10,10,0,8,10,0,0,0,8,5,0,8,8,0,0,0,0,8,0,5,1,70,70,8,12,7,50,300,4,1,,51,4,divorced,2,5,,7,2,1,1,213,0
28.04.2020 09:18:11,688,CROATIA,HR,10,0,10,9,10,10,10,10,10,8,10,10,10,10,10,10,90,0,7,6,3,5,2,10,8,10,8,7,6,6,10,10,6,0,1,10,8,10,10,3,10,10,10,10,5,5,5,9,5,10,8,0,8,0,5,0,5,0,3,10,10,5,0,5,6,0,3,4,10,10,10,7,16,9,0,0,0,2,,29,3,,1,3,,8,2,1,1,213,0
28.04.2020 09:18:38,655,CROATIA,HR,10,0,10,10,10,10,10,10,9,10,9,9,9,9,10,0,20,20,5,5,5,5,5,10,7,9,7,3,8,2,10,10,10,0,2,5,7,10,8,5,7,7,5,5,8,7,8,5,3,7,5,5,8,5,5,2,8,5,5,8,8,5,1,5,7,5,7,7,7,10,10,3,5,8,50,300,2,1,,51,3,,2,1,,4,2,1,1,213,0
28.04.2020 09:19:36,1083,CROATIA,HR,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,0,100,0,5,6,5,9,8,10,10,5,0,0,0,5,10,10,10,0,1,10,6,10,8,10,10,10,8,9,9,9,9,10,9,10,5,10,10,0,5,0,0,5,0,5,9,5,0,8,6,0,5,5,5,50,10,3,2,8,125,3,7,1,,42,3,,2,1,,6,1,1,2,213,0
28.04.2020 09:20:47,1769,CROATIA,HR,6,5,5,8,8,7,7,9,8,8,3,5,1,5,3,0,100,0,5,5,0,0,0,10,0,0,0,0,0,0,10,10,10,0,3,8,8,9,8,7,8,8,10,10,7,9,7,7,6,8,7,8,5,2,1,0,3,3,0,8,4,5,5,9,6,8,2,4,5,0,10,5,16,8,50,3,4,1,,44,3,,2,1,,1,1,1,1,213,0
28.04.2020 09:21:32,810,CROATIA,HR,9,0,10,10,10,7,7,7,5,8,10,5,5,10,10,50,25,25,5,5,4,10,10,10,10,10,10,10,10,10,10,10,8,0,0,10,10,8,10,5,5,5,6,6,5,6,5,7,10,9,5,0,5,0,5,0,5,5,0,6,10,5,5,5,8,5,5,5,5,50,70,5,16,10,50,3,4,2,,57,1,,1,5,,4,1,1,1,213,0
28.04.2020 09:26:23,706,CROATIA,HR,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,50,50,0,5,5,5,5,10,10,10,5,5,5,5,5,10,10,5,10,5,10,5,5,5,5,5,7,6,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,50,5,6,8,50,300,4,2,,54,3,,0,5,,8,2,1,1,213,0
28.04.2020 09:27:42,1048,CROATIA,HR,10,1,10,10,10,0,0,10,8,10,4,5,4,10,10,0,100,0,5,5,5,2,2,10,2,6,5,5,5,5,8,9,5,5,5,8,9,10,8,9,10,10,5,5,5,8,7,8,5,8,5,3,7,1,1,1,5,5,1,8,5,5,5,5,7,5,5,5,5,70,20,5,9,5,50,300,7,2,,50,3,,3,1,,6,2,1,2,213,10
28.04.2020 09:27:47,1236,CROATIA,HR,10,1,10,8,10,10,10,8,6,10,9,10,9,10,9,80,20,0,3,3,5,5,5,5,5,2,3,2,3,5,10,9,2,9,8,8,8,8,8,8,8,8,3,3,2,4,4,4,7,9,6,4,5,4,2,5,2,1,7,7,6,5,2,5,2,2,2,2,6,10,10,3,6,3,25,3,7,1,,71,3,,1,5,,7,1,1,1,213,0
28.04.2020 09:30:38,842,CROATIA,HR,4,7,10,5,8,5,2,10,10,10,0,0,0,10,5,50,50,0,8,6,1,1,8,1,1,8,8,8,8,5,10,10,10,0,0,10,7,8,9,7,7,8,8,8,8,9,9,10,10,7,2,1,7,0,0,0,5,2,0,10,10,0,0,5,0,0,0,4,10,0,20,5,16,10,25,300,7,2,,30,2,,0,2,,6,1,1,1,213,0
28.04.2020 09:30:58,951,CROATIA,HR,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,100,0,5,5,5,5,5,9,7,7,0,0,5,5,8,5,8,5,5,10,5,5,7,5,7,7,7,7,7,5,5,7,7,7,5,1,7,5,5,5,5,5,5,6,6,5,0,5,5,6,5,5,6,30,30,5,2,7,50,300,7,1,,64,1,,1,1,,6,1,1,1,213,0
28.04.2020 09:33:34,1008,CROATIA,HR,8,0,7,7,10,10,10,10,5,8,10,10,10,10,10,70,15,15,5,5,5,5,5,10,7,5,0,5,5,3,10,10,10,0,3,7,7,7,7,7,7,7,5,7,8,8,7,10,7,5,5,3,5,3,1,5,5,3,5,10,8,5,0,0,5,0,0,5,10,80,60,5,11,8,25,3,4,1,,55,3,,2,1,,5,2,1,1,213,0
