sex,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
1,42,3,2,1,,1,1,1,1,213,0
1,43,3,2,1,,3,1,1,1,213,0
2,29,3,1,1,,7,1,1,1,213,0
2,59,3,1,5,,5,1,1,1,213,0
1,29,3,1,1,,4,1,1,1,213,0
1,51,3,1,1,,5,1,1,1,213,0
1,64,3,1,5,,5,1,1,1,213,0
1,60,3,1,5,,5,1,1,1,213,0
2,64,3,1,5,,5,1,1,1,213,0
2,27,3,0,3,,5,2,1,1,213,0
1,62,3,2,5,,6,1,1,1,213,0
1,44,3,1,1,,5,1,1,1,213,0
1,27,3,1,1,,2,1,1,1,213,0
1,50,3,1,1,,0,2,1,1,213,0
1,28,3,1,1,,5,1,1,1,213,0
2,27,2,0,1,,4,1,1,1,213,0
1,63,3,1,5,,5,1,1,1,213,0
2,45,3,1,1,,4,1,1,1,213,0
2,28,2,0,1,,5,1,1,1,213,0
2,28,3,1,1,,5,1,1,1,213,0
1,61,3,1,5,,5,1,1,1,213,0
1,66,3,1,5,,2,1,1,1,213,0
2,62,3,1,5,,6,2,1,1,213,0
2,61,3,1,5,,5,2,1,1,213,0
1,29,3,1,1,,5,1,1,1,213,0
1,52,3,1,1,,3,2,1,1,213,0
1,43,3,1,1,,5,1,1,1,213,0
1,45,3,1,1,,3,1,1,1,213,0
2,43,3,1,1,,5,1,1,1,213,0
1,41,3,1,1,,5,1,1,1,213,0
2,40,3,1,1,,6,1,1,1,213,0
1,24,2,0,1,,6,1,1,1,213,0
2,40,3,1,1,,5,1,1,1,213,0
2,65,3,1,5,,5,2,1,1,213,0
2,39,3,1,1,,6,1,1,1,213,0
1,39,3,1,1,,3,1,1,1,213,0
1,29,3,1,1,,2,1,1,1,213,0
2,47,3,1,1,,6,1,1,1,213,0
2,21,1,0,4,,1,2,1,1,213,0
2,46,3,1,1,,2,1,1,1,213,0
1,43,3,1,1,,5,1,1,1,213,0
2,55,3,2,1,,3,1,1,1,213,0
1,26,3,1,1,,5,1,1,1,213,0
1,18,1,0,3,,5,1,1,1,213,0
2,65,3,1,5,,1,1,1,1,213,0
2,65,3,1,5,,4,1,1,1,213,0
1,46,3,1,1,,4,1,1,1,213,0
1,26,1,0,1,,5,1,1,1,213,0
2,61,3,2,5,,6,1,1,1,213,0
2,60,3,1,5,,4,1,1,1,213,0
1,35,3,1,1,,5,1,1,1,213,0
1,28,3,1,1,,5,1,1,1,213,0
2,54,3,2,2,,2,1,1,1,213,0
2,32,3,2,1,,4,1,1,1,213,0
1,61,3,1,1,,2,1,1,1,213,0
2,62,3,1,5,,4,1,1,1,213,0
2,50,3,1,5,,2,1,1,1,213,0
2,61,3,1,5,,3,1,1,1,213,0
2,47,3,1,1,,4,1,1,1,213,0
1,45,3,0,1,,5,1,1,1,213,0
2,43,3,1,1,,4,1,1,1,213,0
1,40,3,0,1,,5,1,1,1,213,0
2,40,3,1,1,,5,1,1,1,213,0
2,47,3,0,1,,5,1,1,1,213,0
1,36,3,1,1,,6,1,1,1,213,0
1,55,3,1,1,,2,1,1,1,213,0
1,42,3,1,1,,5,1,1,1,213,0
1,62,3,1,1,,3,1,1,1,213,0
1,43,3,1,1,,5,1,1,1,213,0
2,28,3,1,1,,2,1,1,1,213,0
1,65,3,1,5,,4,1,1,1,213,0
1,60,3,1,5,,0,1,1,1,213,0
2,41,3,1,1,,6,1,1,1,213,0
2,62,3,1,5,,5,1,1,1,213,0
1,40,3,1,1,,5,1,1,1,213,0
2,53,3,1,5,,5,1,1,1,213,0
1,56,3,1,1,,5,1,1,1,213,0
1,32,2,0,1,,5,1,1,1,213,0
1,52,3,1,1,,6,1,1,1,213,0
1,50,3,0,1,,6,1,1,1,213,0
1,42,3,1,1,,2,1,1,1,213,0
1,61,3,1,5,,2,1,1,1,213,0
1,28,3,1,1,,4,1,1,1,213,0
1,42,3,1,1,,5,1,1,1,213,0
1,33,3,1,1,,6,1,1,1,213,0
2,65,3,1,5,,3,1,1,1,213,0
1,23,1,0,1,,5,1,1,1,213,0
1,33,3,1,1,,5,1,1,1,213,0
2,46,3,1,1,,5,1,1,1,213,0
2,62,3,1,5,,5,1,1,1,213,0
1,42,3,1,1,,6,1,1,1,213,0
1,36,3,1,1,,5,1,1,1,213,0
1,65,3,2,5,,3,1,1,1,213,0
2,55,3,1,1,,5,2,1,1,213,0
