,RecordDate,Duration_sec,Language,Country,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1,psych_wellbeing2,collective_narcis1,collective_narcis2,collective_narcis3,national_identity_1,national_identity_2,Conspiracy_theories_1,Conspiracy_theories_2,Conspiracy_theories_3,Conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,Self.esteem,AttCheck2,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,MORAL_ID_1,MORAL_ID_2,MORAL_ID_3,MORAL_ID_4,MORAL_ID_5,MORAL_ID_6,MORAL_ID_7,MORAL_ID_8,MORAL_ID_9,MORAL_ID_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marital,children,employment_status,employment_status_other,Ladder,urban,tested_positive,know_tested_positive,education_status,education_status_other,region,latest_vote,latest_vote_other,AttCheck_nobots
319,4/30/2020 10:01,8767,MK,North Macedonia,10,0,10,9,10,7,7,10,10,10,10,10,1,10,100,80,20,0,5,3,40,40,40,9,10,80,80,90,90,7,10,10,10,0,4,7,6,6,6,10,7,7,95,93,9,9,9,10,10,10,0,0,NA,0,6,6,0,4,4,0,10,10,4,0,9,8,0,6,2,7,0,10,NA,16,9,50,300,12,2,,49,1,2,1,,4,1,1,2,6,,4,4,,213
320,4/30/2020 12:57,976,MK,North Macedonia,10,0,10,10,10,8,8,10,10,8,10,10,8,10,100,0,50,50,7,10,50,50,50,5,6,0,0,0,0,4,10,10,10,3,0,10,7,8,7,6,7,7,84,82,6,7,7,6,7,3,7,8,6,0,3,3,0,2,0,0,9,10,2,0,7,6,0,5,5,6,10,80,5,16,9,50,NA,NA,2,,24,1,0,4,,6,1,1,1,5,,7,4,,213
321,4/30/2020 12:40,3924,MK,North Macedonia,10,0,9,10,10,8,9,10,8,10,10,10,10,10,100,0,80,20,7,6,0,0,0,3,3,10,10,20,20,0,9,10,10,0,0,10,8,9,8,9,8,9,59,60,8,8,8,9,8,7,2,2,8,0,8,5,1,1,0,4,10,10,7,0,7,8,0,8,8,10,80,80,3,10,9,NA,NA,NA,2,,19,2,0,4,,5,1,1,1,5,,7,11,"Не гласав,  бев малолетна",213
322,4/30/2020 13:26,1719,MK,North Macedonia,10,0,10,9,9,10,10,10,10,8,10,10,10,10,100,0,70,30,6,5,20,30,10,3,2,60,70,50,80,5,9,10,10,1,2,8,8,7,10,5,8,9,55,60,10,8,9,10,9,9,9,7,8,0,5,5,7,7,8,3,8,10,5,0,8,7,1,5,5,8,40,70,5,9,6,50,3,4,2,,20,2,0,4,,3,1,1,2,5,,4,11,Не гласав,213
323,4/30/2020 13:21,3485,MK,North Macedonia,10,0,10,10,10,10,10,10,3,10,5,8,0,9,100,50,40,10,1,5,20,10,20,7,8,0,0,0,0,4,10,10,9,0,2,8,4,9,10,10,8,8,65,75,7,4,5,8,7,8,5,2,3,0,2,2,0,3,4,1,8,4,2,0,1,1,1,2,2,5,50,70,2,4,9,25,3,7,2,,41,1,0,6,Хонорарец,5,1,1,1,6,,7,13,,213
324,4/30/2020 13:54,1729,MK,North Macedonia,9,8,9,1,8,9,9,9,10,10,9,10,10,10,100,40,30,30,8,7,80,90,90,8,8,0,0,0,10,7,10,10,10,0,1,10,0,10,10,7,10,7,100,85,10,8,10,10,7,10,7,2,8,0,7,7,2,10,7,2,8,1,2,0,8,9,7,8,9,7,30,30,5,3,8,40,NA,7,1,,20,1,0,4,,6,1,1,2,5,,4,13,,213
325,4/30/2020 13:52,1951,MK,North Macedonia,10,0,10,9,4,8,8,10,6,9,9,10,5,8,100,50,20,30,4,2,20,50,30,7,7,40,20,30,20,2,10,7,9,2,2,5,7,9,8,5,3,8,40,55,7,7,8,8,8,7,5,5,6,0,2,2,0,3,3,2,8,7,2,1,4,3,2,8,4,5,20,30,5,14,9,50,NA,4,1,,38,1,0,1,,6,1,1,1,6,,7,13,,213
326,4/30/2020 14:51,994,MK,North Macedonia,10,0,10,10,10,10,10,10,10,10,5,5,5,5,50,0,0,100,10,10,50,50,50,5,5,100,100,100,100,0,10,10,10,0,0,NA,NA,NA,NA,NA,NA,NA,100,100,10,10,10,10,0,10,10,5,10,0,0,10,0,10,10,10,10,10,10,0,10,10,0,10,10,0,0,50,0,16,10,NA,NA,NA,2,,26,1,0,1,,6,1,1,1,6,,9,11,Ne sum partiski opredelena,213
327,4/30/2020 13:14,6985,MK,North Macedonia,8,2,10,4,10,10,10,10,2,4,10,9,2,10,100,0,0,100,8,5,0,0,70,10,10,40,70,40,20,0,10,10,10,0,0,10,9,7,6,1,4,5,68,100,0,2,5,10,1,8,7,6,8,0,3,7,0,3,3,0,10,10,0,0,0,0,0,0,0,10,10,50,1,16,8,50,300,8,2,,25,2,0,1,,5,1,1,2,5,,7,4,,213
328,4/30/2020 15:00,929,MK,North Macedonia,10,0,10,10,10,10,10,10,10,10,10,10,10,10,100,20,40,40,5,5,0,50,50,5,5,0,0,0,0,0,10,10,10,0,0,7,10,10,9,9,10,10,20,20,5,6,7,9,2,8,5,3,7,0,1,1,1,1,1,3,10,10,2,0,2,5,0,0,3,9,10,20,5,16,9,25,NA,7,2,,23,1,0,1,,6,1,1,1,5,,7,13,,213
329,4/30/2020 14:47,1910,MK,North Macedonia,10,0,10,10,10,10,10,10,10,10,9,9,0,10,100,0,70,30,7,6,100,50,50,10,10,100,50,0,50,5,10,10,10,0,0,10,5,10,10,5,5,8,100,100,10,10,10,10,10,10,0,0,10,0,5,9,0,5,5,5,10,10,5,0,10,5,0,5,5,5,0,50,5,5,10,50,300,4,2,,25,2,0,1,,4,2,1,2,6,,4,13,,213
330,4/30/2020 15:16,984,MK,North Macedonia,10,7,10,7,2,NA,7,10,2,10,10,10,10,10,100,50,40,10,8,8,80,90,80,10,10,100,30,90,20,2,10,10,10,0,0,10,7,8,1,9,8,10,100,100,10,8,8,10,3,10,10,0,8,0,1,5,10,3,8,0,10,10,2,1,8,9,8,1,2,9,0,80,0,2,5,25,NA,7,1,,24,2,0,1,,4,1,1,2,5,,4,13,,213
331,4/30/2020 14:53,2473,MK,North Macedonia,7,1,8,6,9,6,5,10,8,7,7,7,2,7,80,20,60,20,7,7,0,0,0,5,8,50,50,50,50,5,10,10,10,10,2,8,7,8,10,9,4,5,90,80,5,8,9,5,5,8,5,4,10,0,3,9,0,10,7,8,8,9,3,0,8,2,0,8,10,7,30,30,NA,14,8,NA,NA,NA,2,,25,1,0,1,,4,1,1,1,5,,4,13,,213
332,4/30/2020 15:35,659,MK,North Macedonia,7,2,3,9,9,4,3,10,8,7,10,10,8,8,78,20,50,30,7,5,40,30,10,3,3,50,50,50,50,3,7,7,7,2,1,2,2,3,3,7,3,0,34,60,4,8,8,9,4,7,7,2,8,0,3,4,3,3,4,3,7,7,3,1,6,3,4,2,5,4,20,40,5,5,10,NA,NA,NA,2,,23,2,0,4,,7,1,1,1,5,,4,12,,213
333,4/30/2020 15:29,1591,MK,North Macedonia,10,0,10,10,10,8,8,10,10,10,10,10,10,10,100,80,15,5,5,5,50,50,50,5,5,50,50,50,50,5,9,9,9,1,1,9,9,9,9,9,8,9,91,91,7,7,7,9,5,5,5,5,9,NA,9,9,9,9,9,1,9,9,5,0,7,5,1,9,8,2,20,50,5,2,9,50,300,4,2,,58,1,2,1,,6,1,1,1,6,,4,13,,213
334,4/30/2020 15:57,912,MK,North Macedonia,10,0,8,10,10,10,10,10,9,7,9,9,3,7,100,50,50,0,9,8,50,90,50,8,8,20,20,20,20,2,10,10,10,0,0,5,8,8,8,8,8,8,90,90,8,9,8,10,8,8,1,2,8,10,1,5,2,5,3,5,10,10,2,0,2,5,0,5,2,5,30,60,5,10,9,50,3,4,2,,43,2,0,1,,6,1,1,1,7,,9,11,Ne glasav,213
335,4/30/2020 16:08,738,MK,North Macedonia,9,1,9,9,10,10,10,10,7,10,10,10,8,10,100,60,30,10,6,6,0,0,0,2,2,20,10,10,10,7,6,6,6,2,2,7,2,9,8,1,8,9,71,70,6,6,6,6,8,8,7,8,6,0,7,8,7,5,5,6,10,3,3,2,8,8,2,3,8,10,30,30,3,11,5,NA,NA,NA,2,,23,2,0,2,,5,1,1,1,6,,4,4,,213
336,4/30/2020 15:46,2583,MK,North Macedonia,9,2,3,10,10,5,6,10,10,4,10,10,10,10,100,30,50,20,4,4,50,NA,50,5,4,80,50,30,30,2,1,10,10,9,2,7,7,9,7,6,6,7,89,82,8,NA,9,10,4,7,2,3,7,0,7,9,2,8,5,0,10,8,6,0,7,7,1,5,4,8,10,20,2,4,9,25,100,NA,2,,24,2,0,4,,3,1,1,2,5,,7,12,,213
337,4/30/2020 16:14,1633,MK,North Macedonia,2,5,8,10,3,6,6,7,2,2,3,5,2,5,50,34,33,33,9,8,0,10,10,3,3,30,30,30,40,1,10,10,8,0,1,7,7,8,7,4,6,3,95,70,9,7,10,10,5,4,6,6,9,5,2,6,2,9,6,2,6,6,4,4,3,3,3,3,3,5,10,20,5,2,10,50,NA,2,1,,24,2,0,4,,4,1,1,1,5,,4,12,,321
