caseid,q1_1,q1_2,q1_3,q1_4,q1_5,q2_1,q2_2,q2_3,q2_4,q2_5,q3_1,q3_2,q3_3,q3_4,q3_5,q4_1_1,q4_2_1,q4_3_1,q5_1,q6_1,q7_1,q7_2,q7_3,q8_1,q8_2,q9_1,q9_2,q9_3,q9_4,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q12_1,q12_2,q13_1,q13_2,q13_3,q13_4,q14_1,q14_2,q14_3,q14_4,q15_1,q16_1,q17_1,q17_2,q17_3,q17_4,q17_5,q17_6,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q18_9,q18_10,q19_1,q19_2,q20_1,q21,q22_1,q23,q24,q25,civilstatus,children,jobsituation,jobsituation_other,q26,q27,q28,q29,q30,gender,age,profile_age1,profile_age2,profile_age3,region,household_income,profile_education,tot_time,endtime
1299716926,80,80,80,80,80,9,9,9,9,9,8,8,8,8,8,50,50,0,6,6,8,8,8,7,7,5,5,5,5,6,6,6,6,6,6,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,30,30,6,9,8,125,3,4,3,0,5,"",7,1,1,1,213,2,69,3,11,5,4,3,6,1630.915,2020-04-27 12:16:45
1299555920,90,10,100,100,100,8,8,10,9,10,0,0,0,0,0,60,40,0,10,10,9,9,1,10,10,1,1,1,1,1,10,10,10,10,1,9,8,8,4,6,7,5,9,9,5,9,9,9,9,9,1,1,9,9,7,8,1,8,1,8,8,9,6,1,6,1,1,7,1,6,90,70,5,1,8,50,300,4,3,2,2,"",5,1,1,1,213,2,69,3,11,5,3,6,4,1145.213,2020-04-27 12:18:22
1299487464,50,10,100,90,100,1,10,10,10,10,10,10,1,10,10,0,100,0,9,9,2,5,5,10,10,1,1,1,1,1,10,10,10,1,1,5,5,5,5,5,5,5,10,10,10,10,10,10,7,8,2,1,8,5,1,1,1,1,1,1,10,10,1,1,9,1,1,1,7,10,50,50,5,14,10,25,3,7,3,1,1,"",5,1,1,1,213,2,64,3,10,5,2,7,4,1062.547,2020-04-27 12:18:23
1299619518,80,20,50,90,100,6,5,4,4,8,9,10,9,10,10,79,21,0,8,8,9,6,7,10,9,1,1,1,1,7,7,8,7,2,2,5,5,6,7,7,5,6,9,10,5,5,6,7,8,8,6,5,7,5,6,2,4,6,5,2,8,8,3,5,7,5,5,6,6,6,30,50,5,5,8,50,300,4,3,3,5,"",7,2,1,1,213,2,70,4,11,6,4,3,4,1219.435,2020-04-27 12:19:57
1299757172,70,10,60,90,100,5,6,6,6,5,5,5,5,6,5,29,43,28,5,7,6,5,6,6,6,6,6,5,5,5,6,7,5,5,6,6,5,6,6,5,6,5,5,6,5,7,6,6,5,6,6,5,5,5,6,5,6,5,6,6,5,7,7,4,5,7,5,5,7,6,50,60,5,7,99,25,3,7,2,0,4,"",5,1,1,1,213,2,21,1,1,1,4,1,3,354.341,2020-04-27 12:22:02
1299637760,50,70,10,90,100,5,5,9,1,5,8,10,1,10,9,53,24,23,8,9,1,1,1,10,5,1,1,1,1,1,10,10,10,1,1,7,8,9,8,5,8,9,8,8,8,10,10,10,8,8,5,1,8,0,1,1,1,1,1,1,7,7,1,1,1,1,1,2,1,5,30,30,7,3,8,50,5,7,3,3,6,selvstændig,10,1,1,1,213,2,79,4,13,6,1,11,8,1189.277,2020-04-27 12:22:14
1299757090,6,1,6,6,6,6,6,1,0,6,6,6,6,6,6,100,0,0,5,6,6,6,6,6,6,0,0,0,0,3,3,3,3,3,3,3,3,3,2,3,3,3,6,6,6,6,6,6,3,5,5,3,3,0,3,2,6,3,3,3,6,6,5,0,3,3,0,0,0,5,50,70,5,6,6,50,300,4,3,2,3,"",1,2,1,1,213,1,26,1,2,1,4,6,5,627.181,2020-04-27 12:23:34
1299743282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,3,4,2,0,4,"",5,1,1,1,213,1,22,1,1,1,1,3,3,825.688,2020-04-27 12:23:37
1299759780,50,50,60,60,60,5,7,6,4,6,7,6,5,7,6,60,40,0,7,8,7,5,6,6,5,6,6,5,7,5,5,5,5,5,5,6,6,5,5,5,6,5,5,7,7,5,6,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,60,50,6,10,5,50,300,4,2,0,1,"",7,1,1,2,213,2,28,1,3,1,1,7,6,326.278,2020-04-27 12:25:01
1299648078,95,5,95,100,100,10,10,10,10,10,10,10,10,10,10,30,60,10,4,6,5,5,5,10,9,6,1,1,1,2,8,8,8,1,4,5,5,5,5,5,5,5,5,5,5,4,5,8,0,10,8,10,9,0,4,5,5,7,5,1,8,8,8,1,5,5,1,5,2,7,4,6,8,5,9,25,5,4,2,2,1,"",7,1,1,1,213,1,55,3,8,4,4,10,7,1260.247,2020-04-27 12:27:46
1299637724,100,1,100,100,100,10,10,10,5,10,10,10,5,10,10,0,50,50,7,7,0,7,5,10,10,7,0,0,0,0,10,10,10,0,9,0,0,0,0,0,0,0,7,10,10,10,10,10,10,10,8,5,8,0,10,0,5,5,0,0,10,8,0,0,6,5,0,5,0,10,70,70,5,16,8,50,2.7e+07,7,3,2,1,"",6,1,1,2,213,1,66,3,10,5,1,12,4,1087.06,2020-04-27 12:32:20
1299757550,80,0,40,100,100,5,7,10,0,8,9,10,10,9,9,50,25,25,7,8,5,8,1,10,10,0,0,0,0,1,10,5,8,0,0,9,6,10,5,5,5,9,9,9,5,6,6,9,7,9,5,5,5,0,5,1,2,6,1,0,10,7,3,1,6,2,5,1,1,5,10,20,5,14,8,25,3,7,2,0,2,"",5,2,1,2,213,1,28,1,3,1,3,4,6,1038.184,2020-04-27 12:33:11
1299504836,100,30,100,100,100,8,8,10,2,10,10,10,10,10,10,95,0,5,3,3,2,5,0,10,6,0,0,0,0,2,10,10,10,0,3,8,3,10,5,5,7,9,5,7,6,4,6,10,5,4,8,6,1,0,0,3,5,2,0,1,10,10,3,0,4,2,2,0,1,10,50,60,9,12,5,25,300,7,1,0,3,"",3,2,1,1,213,1,26,1,2,1,4,12,3,1064.73,2020-04-27 12:33:50
1299769864,50,40,60,80,70,8,5,8,5,6,9,7,5,7,7,43,32,25,6,5,7,8,6,10,2,0,0,0,0,8,7,9,6,8,6,8,5,7,6,9,7,8,10,4,4,5,6,7,5,6,7,8,9,6,7,7,6,9,8,8,8,6,8,8,7,6,5,8,8,7,60,20,7,5,99,50,300,4,1,0,4,"",5,2,1,2,213,2,19,1,1,1,4,4,2,308.648,2020-04-27 12:39:24
1299171530,1,2,3,0,0,5,0,10,6,9,5,10,5,9,10,0,0,100,5,6,5,5,5,10,5,5,5,1,5,7,10,10,10,0,0,10,10,5,10,1,1,1,8,8,10,7,9,9,7,10,5,8,5,0,1,1,1,5,5,0,10,10,5,1,7,8,0,0,8,9,0,0,5,16,7,25,3,7,3,4,6,Efterlønner,5,2,1,1,213,1,63,3,10,5,3,4,6,1462.479,2020-04-27 12:39:34
1297520772,80,5,20,80,100,10,10,10,5,10,10,10,7,10,9,0,50,50,7,7,0,5,0,9,5,0,0,0,0,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,6,6,6,6,5,8,5,4,5,0,3,3,4,5,3,3,6,6,6,6,6,6,6,6,6,6,20,20,3,1,7,50,3,7,1,0,1,"",8,2,2,2,213,1,20,1,1,1,5,13,2,537.537,2020-04-27 12:41:52
1299665464,80,100,80,100,100,10,10,10,7,10,8,10,8,10,10,100,0,0,8,7,7,4,5,10,10,0,0,0,0,4,7,8,9,0,0,3,4,3,4,4,3,8,8,8,7,8,8,9,6,7,4,3,5,0,8,4,4,5,2,6,10,8,5,0,6,6,0,5,4,8,30,30,4,10,7,50,300,4,3,2,1,"",6,1,1,1,213,2,61,3,9,5,3,7,1,1881.604,2020-04-27 12:43:17
1299765856,100,5,100,100,100,10,10,5,7,10,7,10,5,8,10,100,0,0,10,8,0,5,2,10,10,0,0,0,0,2,10,10,10,0,0,3,2,5,3,3,2,2,10,5,2,2,4,4,4,5,4,0,5,5,0,2,0,3,3,3,3,3,3,3,2,3,3,2,2,3,0,100,6,16,99,50,300,4,3,0,2,"",5,1,1,1,213,1,27,1,2,1,3,13,6,681.496,2020-04-27 12:43:35
1299757030,100,0,90,100,100,10,10,10,5,10,5,10,5,10,10,50,50,0,8,8,7,7,10,10,10,0,0,0,0,0,10,10,10,0,0,10,6,10,5,5,5,5,5,7,10,10,5,10,5,7,6,5,5,0,0,0,0,0,0,0,10,10,5,0,5,5,10,5,5,10,50,10,5,16,8,50,3,4,2,2,1,"",8,2,1,1,213,1,60,3,9,5,3,9,5,934.211,2020-04-27 12:48:43
1299766464,80,70,100,80,100,7,7,10,6,10,8,10,6,9,10,0,30,70,8,9,0,0,0,10,9,0,0,0,0,7,9,9,10,0,2,8,7,10,4,8,4,8,6,7,9,8,9,10,7,8,4,4,7,0,2,1,2,6,3,5,10,10,9,0,8,9,0,6,0,8,50,70,8,14,9,50,3,6,2,0,4,"",6,1,1,1,213,1,24,1,2,1,4,2,2,958.941,2020-04-27 12:48:54
1299770200,10,70,10,60,80,7,6,7,1,9,1,5,1,8,10,25,25,50,3,3,5,2,0,10,6,0,0,0,0,0,10,9,9,0,1,9,9,9,2,1,5,10,7,7,10,10,10,10,9,1,1,5,10,1,4,1,1,2,5,1,10,8,1,1,9,1,1,7,8,6,90,70,1,5,10,25,3,7,1,0,4,"",7,1,1,1,213,1,27,1,2,1,4,2,2,567.358,2020-04-27 12:49:03
1298841180,100,30,100,100,100,10,10,10,10,10,10,10,5,10,10,80,5,15,9,9,7,0,10,10,10,1,1,1,1,5,8,9,8,5,5,6,6,7,6,6,7,6,7,8,10,10,10,10,7,7,6,2,6,10,10,5,5,7,5,1,7,7,7,6,7,8,7,5,7,6,40,40,7,2,9,50,300,4,3,2,5,"",7,1,1,1,213,2,69,3,11,5,4,5,6,791.517,2020-04-27 12:49:43
1299766892,60,50,50,50,50,5,7,7,5,10,5,5,5,5,5,28,41,31,9,8,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,8,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,50,50,5,3,8,50,300,4,3,0,1,"",5,1,2,2,213,1,42,2,5,3,1,12,7,433.542,2020-04-27 12:49:47
1299779752,100,10,30,100,90,7,3,8,4,3,9,1,4,9,3,39,26,35,6,6,9,2,6,1,4,7,3,6,4,6,10,6,4,1,3,8,4,6,5,5,5,5,4,3,9,6,8,7,3,5,4,9,4,8,8,3,2,8,2,5,8,3,7,2,7,2,6,3,8,7,70,50,3,4,3,50,3,7,2,0,3,"",4,1,1,1,213,2,23,1,2,1,3,2,2,365.744,2020-04-27 12:49:54
