Duration_sec,RecordedDate,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self_control__1,trait_self_control__2,trait_self_control__3,trait_self_control__4,Self_esteem,AttCheck2,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,CRT1,CRT2,CRT3,Country
805,   5/5/2020 7:38,PL,10,0,0,10,10,10,10,10,10,10,10,10,2,10,10,80,20,0,4,6,0,1,0,1,1,5,3,3,3,7,8,8,8,1,1,7,3,7,7,8,6,8,2,4,8,8,7,1,0,2,4,8,5,0,7,2,2,7,7,7,9,9,2,1,3,7,2,2,8,8,60,70,3,16,1,2,,29,3,1,3,,7,1,1,1,213,50,3,4,Poland
1281,   5/5/2020 7:46,PL,6,4,6,6,6,4,4,10,0,10,6,6,5,6,5,50,50,0,5,6,4,4,4,6,4,4,4,4,4,4,4,6,6,5,5,5,6,6,6,6,6,6,6,6,4,4,6,4,4,4,6,6,4,6,6,4,6,6,4,6,6,6,4,4,4,4,4,4,4,4,30,50,5,5,4,1,,18,1,0,4,,7,1,1,1,213,100,3,7,Poland
2238,   5/5/2020 7:55,PL,10,3,3,10,6,6,6,10,3,6,6,6,0,10,5,50,50,0,5,5,3,3,3,10,6,0,0,0,0,6,9,9,9,2,6,5,4,9,9,0,6,5,7,7,6,7,7,8,6,9,5,6,7,0,5,3,6,3,3,8,5,5,3,3,3,3,5,4,2,5,10,40,2,10,10,1,,73,1,0,5,,5,1,1,1,213,50,300,8,Poland
2608,   5/5/2020 7:56,PL,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,100,0,0,0,0,0,0,0,5,5,5,0,0,0,5,10,10,10,0,0,8,8,8,2,8,10,10,0,0,8,8,8,5,0,5,10,5,5,0,0,0,0,0,5,10,10,10,0,0,5,5,0,0,0,5,50,80,3,10,5,2,,64,1,1,5,,9,1,1,1,213,50,300,,Poland
1156,   5/5/2020 7:56,PL,10,2,10,10,10,10,10,10,10,9,10,10,10,10,10,80,10,10,7,6,7,8,0,10,3,4,6,3,3,7,10,10,9,0,7,10,10,10,10,8,10,10,7,8,10,8,8,10,6,10,7,4,4,4,8,4,7,10,8,4,10,8,4,0,7,9,2,0,6,8,60,100,6,16,8,2,,28,3,2,1,,6,1,1,1,213,50,300,4,Poland
1509,   5/5/2020 7:56,PL,6,7,6,7,8,6,6,6,6,6,0,0,0,0,10,0,100,0,6,4,0,4,4,10,10,6,10,10,10,3,8,8,8,2,4,7,6,10,7,9,10,10,6,6,2,7,6,7,6,7,8,6,3,6,8,4,10,6,6,6,10,10,10,0,8,2,0,2,7,10,0,0,4,15,7,1,,30,3,0,3,,4,4,1,1,213,25,300,4,Poland
2757,   5/5/2020 7:56,PL,7,0,10,10,10,10,10,10,10,10,10,10,8,10,10,30,50,20,10,9,6,9,5,10,10,1,0,0,0,4,10,10,10,2,2,8,5,5,6,4,5,8,10,8,10,8,9,10,6,9,5,2,5,0,5,5,6,6,5,4,10,10,6,1,8,6,1,4,7,10,50,50,10,11,8,2,,51,1,2,3,,4,1,1,1,213,25,3,7,Poland
1005,   5/5/2020 7:57,PL,9,1,9,9,9,10,10,10,10,0,1,1,0,10,10,100,0,0,4,5,1,1,1,9,8,10,6,7,6,1,9,9,9,0,0,8,6,6,7,0,8,1,4,4,9,10,6,4,8,8,3,2,7,0,0,1,1,1,4,3,10,10,2,0,7,7,10,0,2,10,90,90,2,16,5,1,,53,2,0,1,,6,1,1,1,213,50,3,4,Poland
2742,   5/5/2020 8:00,PL,8,0,10,10,10,10,10,10,9,10,10,10,10,10,10,90,10,0,10,8,10,9,10,10,10,0,0,0,0,4,10,10,10,0,2,3,6,8,8,6,6,8,10,10,10,6,9,10,10,10,10,9,10,7,9,10,10,10,8,7,10,10,8,0,10,10,10,0,8,10,0,20,9,1,10,2,,66,3,3,5,,5,1,1,1,213,25,300,4,Poland
2159,   5/5/2020 8:00,PL,0,9,2,6,0,5,5,10,0,0,0,0,0,0,6,0,100,0,8,7,4,10,4,10,10,0,10,10,6,3,9,8,8,0,0,8,8,10,10,10,9,6,9,9,10,10,10,10,8,8,4,6,6,0,0,0,4,4,6,6,9,9,9,1,8,8,8,4,4,9,10,10,8,9,10,1,,47,3,2,1,,3,1,1,1,213,50,3,7,Poland
1516,   5/5/2020 8:02,PL,9,1,8,8,10,8,8,10,5,10,10,10,5,10,10,50,40,10,6,4,0,6,3,7,3,1,0,0,0,4,8,8,9,0,1,8,6,10,6,5,7,10,2,3,5,3,8,6,5,10,10,8,3,5,3,3,2,7,0,3,10,9,3,0,5,7,2,8,8,8,30,60,3,10,7,2,,20,1,0,6,Working student,3,1,1,1,213,50,3,1,Poland
1428,   5/5/2020 8:05,PL,7,1,8,8,10,9,8,6,1,8,5,4,1,8,9,50,30,20,8,6,5,4,4,6,6,8,6,2,2,5,10,9,9,0,2,9,7,9,7,7,7,7,8,8,8,7,8,10,2,4,8,6,3,0,7,5,6,8,5,5,9,7,5,1,6,6,1,7,7,9,90,90,2,5,8,2,,30,2,1,2,,6,1,1,1,213,50,100,4,Poland
2974,   5/5/2020 8:16,PL,10,0,10,10,10,10,10,10,10,10,9,9,1,10,10,0,50,50,8,7,2,1,1,9,9,3,0,1,1,2,10,10,10,0,0,10,10,10,10,10,10,10,6,9,6,5,7,10,2,7,8,7,1,2,0,0,0,0,0,1,10,10,3,0,10,10,0,8,5,10,80,90,2,16,2,2,,61,1,3,5,,6,4,1,1,213,25,300,4,Poland
1021,   5/5/2020 8:22,PL,5,2,8,4,10,8,7,8,1,7,3,3,0,4,2,100,0,0,8,8,0,1,0,10,0,0,0,0,0,1,9,8,6,1,1,5,5,7,6,10,7,10,9,9,8,8,9,10,2,10,8,5,8,0,0,6,5,4,5,2,10,10,0,0,8,8,0,0,0,10,10,30,5,9,7,1,,49,3,2,1,,4,1,1,1,213,25,300,4,Poland
736,   5/5/2020 8:30,PL,8,3,8,7,7,10,10,10,8,7,7,7,2,9,8,50,50,0,7,7,4,4,5,7,7,7,4,6,6,9,9,8,8,4,3,7,4,8,8,9,8,8,6,8,7,7,8,7,7,8,8,7,8,0,8,7,6,7,7,5,8,8,8,3,6,6,9,5,6,9,60,70,1,3,5,1,,45,3,2,1,,4,1,1,1,213,50,3,4,Poland
1606,   5/5/2020 8:34,PL,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,25,25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,50,5,5,5,1,,59,3,2,3,,6,1,1,1,213,50,300,4,Poland
1067,   5/5/2020 8:37,PL,7,7,6,6,4,6,8,8,7,4,6,6,5,5,8,0,50,50,5,5,5,5,5,9,7,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,7,7,7,7,6,8,7,7,5,4,7,7,5,5,5,5,5,5,6,7,6,6,6,7,8,6,6,6,50,50,5,3,9,1,,60,2,1,3,,10,1,1,1,213,50,300,4,Poland
411,   5/5/2020 8:40,PL,8,8,8,8,8,9,8,8,8,8,8,8,9,8,10,100,0,0,9,8,8,8,8,8,8,8,8,9,9,8,7,9,9,8,8,9,8,8,7,7,9,8,9,9,8,8,8,8,9,8,9,8,8,8,9,9,10,8,7,9,8,8,8,8,9,8,8,8,9,8,90,80,8,1,8,1,,44,3,1,1,,6,1,1,1,213,50,3,4,Poland
1458,   5/5/2020 8:42,PL,6,6,5,8,7,7,7,7,4,4,3,4,4,5,4,100,0,0,7,7,5,5,2,8,8,1,1,1,1,5,7,7,9,2,3,5,5,7,5,5,5,6,8,8,7,6,7,7,5,6,5,6,8,0,5,5,5,5,5,3,8,6,3,1,5,3,1,1,5,7,50,50,5,6,9,1,,49,3,2,5,,3,1,1,1,213,50,3,4,Poland
1534,   5/5/2020 8:47,PL,5,7,3,7,1,6,6,6,0,0,7,9,7,10,4,98,2,0,4,2,8,9,4,10,10,8,6,6,6,3,5,5,4,6,5,8,8,8,8,8,8,4,3,3,8,7,8,8,7,7,5,5,4,0,2,7,9,10,3,2,10,10,6,0,1,1,0,0,0,10,30,20,3,16,6,1,,51,2,0,1,,10,1,1,1,213,25,1,3,Poland
1367,   5/5/2020 8:49,PL,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,50,25,25,4,5,0,10,3,10,10,7,5,4,6,0,10,10,10,0,0,10,10,10,10,10,10,9,6,5,10,9,10,10,6,10,6,6,7,0,10,0,0,10,0,0,10,10,0,0,10,10,0,10,10,10,70,70,5,2,7,2,,24,2,1,1,,6,1,1,1,213,50,300,4,Poland
