RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2,"live_in_kurdistan(1=no,2=yes)"
26/04/20 17:21,2063,KURDISTAN,KU,10,3,8,7,10,10,10,10,10,10,10,3,6,7,10,25,50,25,5,6,10,10,10,10,10,5,7,4,4,10,10,10,10,0,10,2,0,0,5,5,10,5,8,4,7,10,10,9,8,10,8,0,10,2,10,10,10,10,10,10,10,10,0,10,6,10,0,10,10,50,70,,1,10,50,300,,1,,22,1,0,3,,6,1,1,1,213,6,2
26/04/20 17:41,1447,KURDISTAN,KU,10,5,0,10,4,5,5,5,,,6,10,6,10,10,40,20,40,10,3,5,10,10,10,10,2,7,7,7,,5,5,5,,,2,7,3,2,2,1,7,10,10,10,8,9,9,2,9,2,2,10,10,10,0,10,10,4,10,10,7,3,10,10,10,10,10,10,10,0,0,2,8,,,,1,,26,1,0,4,,9,1,1,2,213,5,2
26/04/20 19:01,3000,KURDISTAN,KU,10,0,10,10,10,10,8,9,10,10,10,10,10,10,10,100,0,0,5,6,9,5,4,2,8,7,7,5,2,2,10,10,10,0,0,8,5,10,9,8,10,10,5,5,1,0,8,7,10,8,1,1,9,0,1,0,5,5,0,10,6,0,0,5,5,0,0,0,5,50,50,5,9,10,25,300,4,2,,37,1,0,1,,6,1,1,1,213,0,2
27/04/20 0:39,28441,KURDISTAN,KU,9,5,5,7,10,9,10,9,6,9,9,10,9,10,9,50,30,20,6,6,7,9,10,9,10,6,4,4,7,5,9,9,9,2,6,7,8,8,7,6,4,3,9,8,7,8,7,9,7,9,2,1,8,1,5,3,8,8,1,9,8,5,2,9,5,0,1,9,9,10,50,5,7,7,0,300,1,2,,37,3,3,1,,6,1,1,1,213,0,2
27/04/20 1:24,3526,KURDISTAN,KU,9,3,10,10,10,10,10,10,10,9,5,7,5,0,9,90,5,5,5,5,5,5,7,10,10,3,2,0,0,10,10,10,10,0,0,7,5,5,7,5,3,3,7,7,5,7,7,10,8,10,0,9,9,7,8,3,8,9,0,10,9,8,0,9,9,10,1,5,10,70,70,5,10,9,25,3,8,1,,49,3,2,2,,6,2,1,1,213,8,2
27/04/20 2:29,1787,KURDISTAN,KU,9,5,9,9,9,9,10,9,10,8,9,9,5,9,8,50,30,20,7,7,9,7,10,9,9,1,1,1,5,1,9,9,9,1,4,7,7,5,9,5,1,3,9,9,7,7,8,9,8,9,2,1,8,1,5,1,9,7,3,10,9,8,1,9,8,1,2,7,10,0,0,7,15,8,50,900,,1,,39,3,1,2,,6,1,1,1,213,0,2
27/04/20 4:08,43934,KURDISTAN,KU,10,1,10,9,8,2,8,10,8,9,10,10,10,10,10,0,55,45,5,6,6,6,5,10,10,3,3,1,0,1,10,10,10,0,0,10,9,10,8,9,10,9,10,8,2,8,9,7,8,6,9,7,10,3,4,0,8,7,1,10,10,6,0,8,8,0,4,6,9,0,10,1,15,9,50,300,4,1,,22,1,0,4,,6,1,1,1,213,8,2
27/04/20 4:21,1173,KURDISTAN,KU,9,4,5,7,9,8,8,6,7,7,8,10,6,9,7,90,10,0,9,8,10,10,10,9,10,5,1,1,1,8,10,9,9,1,5,5,5,,,,,,9,9,1,5,5,9,9,9,,0,9,1,5,10,9,8,0,10,9,9,0,9,7,0,7,7,10,0,50,,1,9,50,300,8,1,,35,3,2,2,,6,1,2,1,213,9,2
27/04/20 4:24,1836,KURDISTAN,KU,9,2,9,9,10,7,8,10,10,8,8,9,5,9,9,40,35,25,5,5,7,9,10,8,10,6,5,5,6,5,3,8,8,2,6,7,7,9,8,7,8,9,9,9,7,7,7,8,4,8,6,3,8,5,5,3,8,7,2,10,9,8,2,9,5,2,7,8,10,40,60,6,15,9,25,300,4,1,,44,3,0,1,,5,1,1,1,213,6,2
27/04/20 4:29,1348,KURDISTAN,KU,10,5,10,5,10,10,10,8,0,4,10,10,10,10,10,80,15,5,9,6,10,10,10,10,10,5,0,5,5,10,6,10,10,5,5,5,3,7,5,10,8,7,8,9,0,5,6,9,10,9,9,7,10,5,7,5,8,10,10,10,10,10,5,7,9,0,0,5,10,50,90,5,1,8,50,100,2,1,,30,3,0,1,,5,1,1,1,213,5,2
