"cntr","religious","Age","Gender","Education","SES","Country","Source","Trust"
1,1,37,2,3,0.5,"US","t_scientists",0.666666666666667
1,1,37,2,3,0.5,"US","t_tradHealers",0.666666666666667
1,1,44,1,3,1,"US","t_scientists",1
1,1,44,1,3,1,"US","t_tradHealers",0.666666666666667
1,1,25,2,2,0,"US","t_scientists",0.333333333333333
1,1,25,2,2,0,"US","t_tradHealers",0.666666666666667
1,0,40,2,3,1,"US","t_scientists",1
1,0,40,2,3,1,"US","t_tradHealers",0.333333333333333
1,1,80,2,3,NA,"US","t_scientists",NA
1,1,80,2,3,NA,"US","t_tradHealers",NA
1,0,57,1,3,1,"US","t_scientists",0.666666666666667
1,0,57,1,3,1,"US","t_tradHealers",NA
1,1,44,2,3,0,"US","t_scientists",0.666666666666667
1,1,44,2,3,0,"US","t_tradHealers",0.666666666666667
1,NA,68,1,2,1,"US","t_scientists",0.666666666666667
1,NA,68,1,2,1,"US","t_tradHealers",1
1,0,42,2,3,1,"US","t_scientists",1
1,0,42,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,42,1,3,0.5,"US","t_scientists",0.333333333333333
1,1,42,1,3,0.5,"US","t_tradHealers",0.333333333333333
1,1,27,1,2,0.5,"US","t_scientists",0.666666666666667
1,1,27,1,2,0.5,"US","t_tradHealers",NA
1,1,77,2,2,0.5,"US","t_scientists",1
1,1,77,2,2,0.5,"US","t_tradHealers",0.333333333333333
1,0,38,1,3,0.5,"US","t_scientists",1
1,0,38,1,3,0.5,"US","t_tradHealers",0
1,0,41,1,3,1,"US","t_scientists",1
1,0,41,1,3,1,"US","t_tradHealers",NA
1,0,31,1,3,0.5,"US","t_scientists",0.666666666666667
1,0,31,1,3,0.5,"US","t_tradHealers",0
1,1,57,1,3,0,"US","t_scientists",0.333333333333333
1,1,57,1,3,0,"US","t_tradHealers",1
1,1,40,2,3,0,"US","t_scientists",0.666666666666667
1,1,40,2,3,0,"US","t_tradHealers",1
1,1,33,2,3,0.5,"US","t_scientists",1
1,1,33,2,3,0.5,"US","t_tradHealers",0.666666666666667
1,1,70,2,3,1,"US","t_scientists",0.666666666666667
1,1,70,2,3,1,"US","t_tradHealers",0.333333333333333
1,1,60,1,3,0.5,"US","t_scientists",1
1,1,60,1,3,0.5,"US","t_tradHealers",0.333333333333333
1,0,49,2,2,1,"US","t_scientists",1
1,0,49,2,2,1,"US","t_tradHealers",0.666666666666667
1,1,70,2,2,0.5,"US","t_scientists",0.333333333333333
1,1,70,2,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,49,1,2,0.5,"US","t_scientists",1
1,1,49,1,2,0.5,"US","t_tradHealers",NA
1,1,52,2,2,0,"US","t_scientists",1
1,1,52,2,2,0,"US","t_tradHealers",0.333333333333333
1,1,74,2,3,1,"US","t_scientists",0.666666666666667
1,1,74,2,3,1,"US","t_tradHealers",0.333333333333333
1,1,63,2,3,1,"US","t_scientists",1
1,1,63,2,3,1,"US","t_tradHealers",0.666666666666667
1,0,71,1,3,1,"US","t_scientists",1
1,0,71,1,3,1,"US","t_tradHealers",0
1,1,81,1,3,1,"US","t_scientists",1
1,1,81,1,3,1,"US","t_tradHealers",0.333333333333333
1,1,74,1,2,1,"US","t_scientists",0.666666666666667
1,1,74,1,2,1,"US","t_tradHealers",0.333333333333333
1,1,88,2,2,1,"US","t_scientists",0.666666666666667
1,1,88,2,2,1,"US","t_tradHealers",0
1,1,39,1,3,1,"US","t_scientists",1
1,1,39,1,3,1,"US","t_tradHealers",1
1,1,61,1,2,0,"US","t_scientists",1
1,1,61,1,2,0,"US","t_tradHealers",0.333333333333333
1,0,58,2,2,0,"US","t_scientists",1
1,0,58,2,2,0,"US","t_tradHealers",0.333333333333333
1,0,46,1,2,0.5,"US","t_scientists",1
1,0,46,1,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,65,2,3,1,"US","t_scientists",1
1,1,65,2,3,1,"US","t_tradHealers",1
