condition,labID,exclude,BL_adhere_1,BL_avoid_1,BL_avoid_2,BL_avoid_3,motiv_1,motiv_2,motiv_3,motiv_4,motiv_5,motiv_6,motiv_7,motiv_8,defy_1,defy_2,defy_3,defy_4,intention_1w,avoid_1w_1,avoid_1w_2,avoid_1w_3,intention_6m,avoid_6m_1,avoid_6m_2,avoid_6m_3,avoid_6m_4,avoid_6m_5,avoid_6m_6,avoid_6m_7,manip_1,r_manip_2,r_manip_3,age,gender,educ,essen_job,COUNID,month
2,2,0,7,1,1,7,6,6,7,7,5,6,7,7,7,7,4,6,7,7,6,7,24,24,24,7,24,4,24,24,1,6,3,21,2,3,2,GBR,April
2,2,0,7,7,6,6,6,7,7,7,6,7,7,7,1,1,1,1,7,7,7,6,24,24,8,10,24,0,24,24,7,1,1,20,1,2,2,GBR,April
2,2,0,6,7,7,7,7,6,7,6,7,3,5,7,1,6,2,2,7,7,7,6,24,24,16,20,24,8,24,24,5,1,5,18,2,3,2,GBR,April
1,2,0,7,7,7,7,4,6,6,6,2,4,5,7,1,4,4,4,7,7,7,7,24,24,24,24,24,24,24,24,4,6,5,20,2,4,2,GBR,April
2,2,0,7,7,7,7,5,7,6,7,5,5,7,7,1,2,1,6,7,7,7,7,24,24,24,24,24,24,24,24,4,3,6,23,1,4,2,GBR,April
1,2,0,7,7,7,7,6,6,6,7,6,4,5,7,2,6,3,2,7,1,1,1,24,24,23,23,22,22,24,22,2,2,4,20,2,4,2,GBR,April
3,2,0,6,1,2,7,6,6,6,4,6,6,6,6,6,5,5,4,7,7,7,6,24,24,24,24,24,24,24,24,4,4,4,25,2,5,2,GBR,April
3,2,0,7,7,7,7,4,5,7,7,4,4,7,7,3,3,3,4,7,7,7,7,12,13,6,6,16,14,12,16,5,7,4,20,1,3,2,GBR,April
3,2,0,7,1,1,2,6,7,7,7,6,7,7,7,1,2,1,1,7,6,7,7,24,24,16,14,24,14,8,24,5,4,5,19,2,3,2,GBR,April
2,2,0,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,4,2,4,20,2,2,2,GBR,April
3,2,0,7,7,6,6,6,5,6,7,5,5,6,6,6,5,4,2,7,7,7,7,NA,24,20,15,24,10,24,18,3,3,5,19,2,3,2,GBR,April
3,2,0,7,1,1,2,6,6,6,6,5,5,6,7,1,5,2,2,7,7,6,6,16,16,16,24,16,16,6,16,2,3,6,18,1,3,2,GBR,April
1,2,0,6,7,7,7,7,6,6,6,7,7,6,6,2,2,2,3,7,7,7,7,18,20,10,10,24,24,24,24,3,6,6,20,2,4,2,GBR,April
2,2,0,7,7,7,7,2,7,5,7,1,2,6,7,4,3,2,2,7,7,7,7,24,24,24,24,24,24,24,24,2,2,5,44,2,5,2,GBR,April
3,2,0,7,1,1,2,6,5,7,7,6,1,7,7,1,6,4,2,7,7,7,6,24,24,24,24,24,24,24,24,3,3,3,18,1,3,2,GBR,April
1,2,0,7,7,7,7,7,4,7,7,5,7,7,7,1,5,2,2,7,7,7,7,24,24,24,24,24,24,24,24,5,5,5,21,1,4,2,GBR,April
1,2,0,7,7,7,7,3,7,7,7,3,3,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,4,6,7,21,1,3,2,GBR,April
1,2,0,7,7,7,7,7,6,7,7,2,2,6,7,1,2,1,1,7,7,7,6,8,12,12,13,10,6,11,8,7,7,6,21,2,3,2,GBR,April
2,2,0,7,7,7,6,7,6,2,7,6,4,5,7,2,3,2,2,7,7,7,7,24,24,24,24,24,24,10,20,1,6,3,21,1,3,2,GBR,April
2,2,0,7,7,7,7,6,5,5,6,6,5,3,6,2,6,6,2,7,7,7,7,24,24,24,24,24,24,24,24,4,2,2,22,2,4,2,GBR,April
1,2,0,7,7,7,7,5,6,5,7,3,6,7,7,1,1,2,2,7,7,7,7,24,24,24,24,24,24,24,24,7,6,4,21,2,4,2,GBR,April
2,2,0,7,7,7,7,7,7,7,6,6,7,7,7,2,2,2,2,7,7,7,7,24,24,24,24,24,24,24,24,2,6,6,22,2,4,2,GBR,April
2,2,0,7,7,7,5,4,7,5,7,1,4,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,5,2,4,20,1,3,1,GBR,April
1,2,0,7,7,7,7,6,5,5,6,5,3,7,6,3,5,6,2,7,7,7,7,24,24,24,24,24,24,24,24,7,3,6,25,1,3,2,GBR,April
2,2,0,7,7,7,7,7,7,7,7,4,7,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,7,3,7,18,2,4,2,GBR,April
1,2,0,7,7,7,7,5,6,6,6,5,4,6,7,2,5,5,1,7,7,7,7,6,12,6,12,24,24,24,24,2,2,3,20,2,3,2,GBR,April
2,2,0,7,7,7,6,7,7,6,7,2,6,6,7,1,5,4,2,7,7,7,7,24,24,24,24,24,24,24,24,1,7,4,52,2,5,1,GBR,April
1,2,0,7,1,2,1,4,5,5,6,4,2,5,6,4,3,3,2,7,6,6,7,24,24,3,10,4,24,24,10,5,6,3,19,2,3,1,GBR,April
2,2,0,7,7,7,6,7,5,6,5,6,7,6,6,2,2,2,2,7,7,7,7,8,4,4,6,6,6,6,10,3,1,6,18,2,3,2,GBR,April
2,2,0,7,7,7,6,7,7,7,7,7,7,7,7,1,2,1,1,7,7,7,6,24,24,24,24,24,24,24,24,4,3,6,21,2,3,2,GBR,April
1,2,0,7,7,7,7,5,7,7,7,5,6,7,7,1,5,2,2,1,7,7,7,24,24,16,15,24,19,24,24,6,2,1,21,2,4,1,GBR,April
1,2,0,2,7,2,3,6,5,3,4,7,7,5,6,1,3,5,4,5,7,5,5,6,8,0,4,0,1,0,24,2,2,5,21,1,4,2,GBR,April
