RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;k1w_tested_positive;AttCheck_1bots;AttCheck2
1/05/20 18:51;Not available;Colombia;SPA;10;0;10;8;10;9;10;10;0;0;10;9;10;10;10;100,00;0,56;0,56;3;1;0;1;0;0;5;7;6;4;7;1;8;7;8;0;7;4;1;9;8;7;1;3;4;4;1;3;3;0;3;7;9;8;6;7;8;4;8;7;5;7;6;1;0;2;2;2;5;7;3;20;25;2;8;3;1,00;100;24;2;;46;1;0;6;Not available;7;1;1;1;213;0
1/05/20 18:56;Not available;Colombia;SPA;7;2;10;10;10;6;8;9;10;9;8;10;9;10;10;45,66;27,17;27,17;6;4;0;4;4;2;1;0;0;0;0;1;8;10;4;2;2;9;7;10;8;7;9;9;7;7;8;8;8;8;10;9;5;4;8;4;6;3;7;7;0;8;8;6;1;5;5;1;5;7;6;5;8;5;15;7;0,10;5;47;1;;19;1;0;1;Not available;7;1;1;1;213;0
1/05/20 18:58;Not available;Argentina;SPA;9;0;8;10;10;10;10;10;10;9;5;5;4;7;7;60,00;40,00;0,00;5;8;5;5;5;10;7;4;4;2;3;0;10;10;10;0;0;6;6;6;1;5;8;8;5;7;5;6;9;9;5;10;7;1;6;6;5;5;7;7;5;5;6;5;4;5;5;4;5;5;5;50;50;6;6;5;0,05;100;24;2;;34;2;0;1;Not available;8;1;1;1;213;0
1/05/20 19:00;Not available;Argentina;SPA;10;0;10;10;10;10;10;10;9;10;10;10;10;10;10;50,00;50,00;0,00;8;7;0;5;5;10;5;0;0;0;0;2;10;0;10;0;0;5;5;5;5;5;5;5;8;8;6;5;7;6;7;8;2;2;7;0;0;0;0;0;0;10;10;5;0;5;5;5;5;5;5;50;50;2;16;9;0,50;1;47;2;;48;3;1;6;Not available;8;1;1;1;213;0
1/05/20 19:00;Not available;Argentina;SPA;8;3;9;8;10;10;10;9;7;9;10;10;8;10;7;88,24;0,00;11,76;7;7;0;0;9;10;0;5;0;0;0;0;10;10;10;0;7;9;8;7;6;3;0;0;5;3;5;5;5;9;2;5;8;6;6;0;7;0;3;1;8;10;8;7;0;5;4;2;0;1;9;50;50;5;4;7;0,05;1;47;1;;55;1;2;2;Not available;6;1;1;1;213;0
1/05/20 19:00;Not available;Colombia;SPA;10;0;10;10;10;10;10;10;10;7;10;10;10;10;10;79,74;5,70;5,70;8;8;0;0;0;8;8;6;6;6;6;7;10;10;10;0;5;10;10;10;10;10;10;10;1;10;6;6;8;8;5;9;9;7;7;3;7;4;1;1;0;8;7;3;0;3;3;4;4;4;8;50;100;3;10;7;0,10;1;24;1;;42;3;0;2;Not available;7;1;1;1;213;0
1/05/20 19:21;Not available;Colombia;SPA;10;0;10;10;10;10;10;10;10;9;10;9;9;10;10;0,00;100,00;0,00;7;7;10;8;10;10;10;5;5;5;5;0;10;10;10;0;5;0;10;10;10;10;10;10;10;10;10;5;5;5;10;10;9;0;8;0;5;0;5;0;0;10;10;1;0;10;10;0;0;0;10;50;50;5;16;8;0,10;5;7;2;;60;1;2;3;Not available;7;1;1;1;213;0
1/05/20 19:22;Not available;Argentina;SPA;10;0;10;0;10;10;10;10;10;10;10;10;10;10;10;5,93;53,33;40,74;6;6;0;0;5;10;5;1;1;0;0;0;10;10;10;0;0;5;5;5;5;3;0;0;6;10;10;10;10;10;10;7;4;3;7;0;3;0;0;0;5;10;8;0;0;6;6;0;5;6;10;60;60;5;16;8;0,05;5;24;2;;51;3;3;1;Not available;5;1;1;1;213;0
1/05/20 19:24;Not available;Peru;SPA;9;0;0;7;10;5;5;10;7;10;8;8;8;8;10;64,52;16,13;19,35;2;4;6;5;5;7;5;5;7;4;5;4;10;10;9;0;1;8;5;6;6;1;0;0;8;9;6;3;5;6;6;5;5;3;8;8;8;6;9;8;2;10;10;9;2;9;10;0;10;10;10;50;80;2;16;3;10,00;100;24;2;;19;2;0;4;Not available;5;1;1;1;213;0
1/05/20 19:25;Not available;Argentina;SPA;9;5;9;10;10;9;9;10;9;10;9;9;9;9;9;41,18;29,41;29,41;8;7;6;6;6;9;9;0;0;0;0;5;8;9;9;0;0;9;9;9;9;5;5;1;8;8;8;8;8;9;7;9;5;0;8;5;7;0;5;5;0;9;9;0;0;8;9;9;5;8;5;25;50;5;14;8;101,00;100;24;2;;52;2;0;1;Not available;7;1;1;1;213;0
