;RecordedDate;Duration_sec;Country;Language;physical_contact_1;physical_contact_2;physical_contact_3;physical_contact_4;physical_contact_5;physical_hygiene_1;physical_hygiene_2;physical_hygiene_3;physical_hygiene_4;physical_hygiene_5;policy_support_1;policy_support_2;policy_support_3;policy_support_4;policy_support_5;generosity_1;generosity_2;generosity_3;psych_wellbeing1;psych_wellbeing2;collective_narcis_1;collective_narcis_2;collective_narcis_3;national_identity_1;national_identity_2;Conspiracy_theories_1;Conspiracy_theories_2;Conspiracy_theories_3;Conspiracy_theories_4;open_mindedness_1;open_mindedness_2;open_mindedness_3;open_mindedness_4;open_mindness_5;open_mindness_6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging_1;social_belonging_2;social_belonging_3;social_belonging_4;trait_self.control_1;trait_self.control_2;trait_self.control_3;trait_self.control_4;self.esteem_1;narcissism_1;narcissism_2;narcissism_3;narcissism_4;narcissism_5;narcissism_6;Moral_ID_1;Moral_ID_2;Moral_ID_3;Moral_ID_4;Moral_ID_5;Moral_ID_6;Moral_ID_7;Moral_ID_8;Moral_ID_9;Moral_ID_10;risk_perception_1;risk_perception_2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
141;02/05/2020 13:50;2061;SENEGAL;FRENCH;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;0;100;0;1;3;5;5;5;10;8;0;0;0;0;1;10;10;10;1;1;10;10;7;7;8;10;10;7;7;9;7;7;9;5;8;3;1;8;4;5;1;7;6;6;10;8;7;0;9;0;0;5;8;10;70;70;5;14;7;50;300;8;1;;52;3;5;1;;4;1;1;1;213;0
142;02/05/2020 13:55;2037;SENEGAL;FRENCH;7;1;8;8;9;10;10;9;9;8;10;7;10;10;10;30;45;25;10;7;1;8;10;9;9;8;8;8;3;0;0;0;0;0;0;8;9;1;8;1;9;9;8;8;10;10;10;10;1;9;1;1;10;1;8;1;1;8;1;9;9;1;0;7;8;8;8;8;9;30;30;7;16;8;25;100;4;1;;51;3;3;1;;6;2;1;1;213;9
143;02/05/2020 14:11;2214;SENEGAL;FRENCH;10;6;9;9;9;10;10;10;6;10;9;9;9;10;10;40;50;10;7;7;8;7;10;10;6;0;0;0;0;0;10;10;10;3;0;10;10;10;10;7;1;1;10;10;10;10;10;10;10;10;4;0;3;1;1;1;1;1;0;9;9;10;3;9;10;1;0;10;9;10;30;4;9;7;50;300;4;1;;58;3;3;1;;1;1;1;1;213;6
144;02/05/2020 14:21;432518;SENEGAL;FRENCH;10;0;10;10;10;10;10;10;10;10;10;5;10;10;10;45;40;15;8;10;5;5;8;10;10;5;5;5;5;10;10;10;10;10;5;10;9;9;10;9;5;0;10;10;10;10;10;10;10;10;0;0;10;0;10;0;5;9;5;10;10;0;0;0;0;0;4;7;10;50;20;6;9;10;50;900;4;1;;39;1;2;1;;8;1;1;1;213;0
145;02/05/2020 14:31;3262;SENEGAL;FRENCH;1;4;8;2;6;10;10;10;6;6;10;10;10;10;10;10;50;40;0;3;10;10;10;10;10;7;7;6;6;10;10;10;10;10;0;10;10;6;6;0;0;0;10;10;9;9;9;9;10;10;4;0;7;6;10;6;0;10;6;10;10;10;0;10;10;0;7;10;10;70;40;6;2;10;50;300;16;1;;33;1;0;3;;11;2;1;1;213;6
146;02/05/2020 14:37;920;SENEGAL;FRENCH;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;1;;48;3;6;1;;6;2;1;1;Deux cent treize;NA
147;02/05/2020 15:01;2095;SENEGAL;FRENCH;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;0;100;0;10;5;10;10;7;10;10;5;5;5;5;10;10;10;10;0;0;0;10;8;10;9;0;5;10;5;9;10;8;10;10;10;5;0;0;0;0;0;0;0;0;10;10;10;0;10;10;0;0;0;10;30;10;5;5;5;50;300;4;2;;46;3;2;6;;6;1;1;1;213;0
148;02/05/2020 15:02;1034;SENEGAL;FRENCH;10;1;9;8;10;10;10;10;6;0;3;10;10;10;10;0;100;0;6;5;8;5;10;10;10;1;1;1;1;0;10;10;10;0;0;8;7;10;10;4;10;10;10;7;10;8;6;8;8;8;7;5;8;0;6;0;0;8;6;10;10;0;0;7;7;0;8;8;10;50;50;3;16;8;50;100;4;2;;26;1;0;2;;3;1;1;2;213;0
149;02/05/2020 15:34;8300;SENEGAL;FRENCH;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;0;80;20;NA;4;10;10;10;10;10;10;5;5;5;0;10;10;10;NA;0;NA;NA;NA;NA;NA;NA;NA;10;10;10;10;10;10;NA;NA;NA;NA;5;0;5;0;5;10;5;NA;NA;0;NA;NA;NA;5;NA;0;NA;0;10;NA;16;8;;;;1;;35;3;3;1;;7;1;1;1;213;5
150;02/05/2020 16:04;2554;SENEGAL;FRENCH;8;2;9;3;8;10;6;8;6;6;5;5;7;5;8;85;10;5;5;5;7;7;7;10;10;0;0;0;0;5;7;7;8;9;2;7;8;1;2;7;0;0;9;9;7;5;5;9;6;7;6;2;7;5;5;0;5;5;5;5;5;5;1;5;2;2;2;2;5;10;30;5;9;7;25;5;;1;;49;3;2;6;Journalist;6;1;1;1;213;7
151;02/05/2020 16:19;1498;SENEGAL;FRENCH;9;2;9;8;10;6;5;6;4;7;6;6;7;8;7;50;25;25;5;5;9;9;9;7;8;8;6;8;8;3;10;8;9;7;5;7;8;4;8;5;5;4;10;10;6;6;6;7;10;9;3;0;10;5;6;0;5;5;5;9;5;2;5;7;4;2;NA;3;8;10;30;7;1;3;50;300;4;1;;34;1;0;2;;9;1;1;1;213;7
152;02/05/2020 17:28;1309;SENEGAL;FRENCH;8;2;8;8;10;5;7;8;6;5;9;7;9;8;8;70;25;5;8;7;4;4;3;10;7;8;6;1;2;1;8;8;8;1;1;7;8;7;6;5;5;1;7;8;8;7;5;8;5;6;1;1;5;3;7;1;4;5;2;8;6;5;2;2;8;2;3;5;8;0;10;3;14;7;50;;;1;;43;3;3;1;;4;1;1;1;213;0
153;02/05/2020 17:40;2887;SENEGAL;FRENCH;10;0;5;10;10;10;10;10;10;10;0;10;10;10;10;0;50;50;5;5;10;10;10;10;10;5;5;5;5;10;10;10;10;0;0;10;10;10;10;10;0;0;10;10;10;10;10;10;10;10;0;0;10;0;10;0;10;5;0;10;10;5;0;10;10;0;10;10;10;0;100;10;16;8;50;900;16;2;;43;3;0;3;;6;1;1;1;213;10
154;02/05/2020 17:57;9744;SENEGAL;FRENCH;10;0;0;10;10;0;10;10;10;10;10;10;10;10;10;40;35;25;10;10;10;10;10;10;10;5;5;5;5;0;10;10;10;5;0;5;10;10;10;10;5;0;10;10;10;10;10;10;5;10;0;0;10;5;5;5;5;10;5;10;10;10;0;10;10;0;10;10;10;0;0;10;16;10;75;5;7;1;;50;3;7;1;;6;2;1;1;213;10
155;02/05/2020 18:07;3345;SENEGAL;FRENCH;9;0;9;9;9;9;9;9;8;9;9;9;9;9;9;50;40;10;7;7;9;8;10;10;10;5;2;2;2;2;8;4;8;8;2;8;8;9;9;9;2;2;8;9;9;8;8;8;9;9;2;2;7;8;7;2;2;8;2;9;9;7;2;6;6;2;8;8;9;10;20;3;16;7;50;3000;4;1;;53;3;2;3;;7;2;1;1;213;0
156;02/05/2020 18:37;215;SENEGAL;FRENCH;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;1;;39;3;3;1;;6;1;1;1;Deux cents trez;NA
157;02/05/2020 19:00;2355;SENEGAL;FRENCH;8;7;6;9;10;9;9;7;6;9;5;1;8;10;10;70;20;10;7;7;3;3;7;10;9;0;0;0;0;0;10;10;10;0;0;9;2;10;9;7;0;0;8;8;8;8;8;10;9;9;3;8;5;1;7;1;4;NA;2;6;7;6;1;7;NA;2;2;7;NA;10;20;5;9;8;50;300;4;1;;49;3;3;1;;4;1;1;1;213;0
158;02/05/2020 19:02;1269;SENEGAL;FRENCH;3;3;3;10;10;10;10;10;0;6;10;10;10;10;10;85;10;5;2;1;10;10;10;10;10;10;10;10;10;10;8;10;7;0;0;7;8;10;10;6;2;2;5;10;7;5;2;10;7;6;8;4;6;9;7;7;6;2;6;10;6;2;3;4;4;4;3;4;8;10;10;9;9;7;50;3;8;1;;32;1;0;3;;11;1;2;2;213;0
159;02/05/2020 19:14;647;SENEGAL;FRENCH;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;60;30;10;6;6;10;10;10;10;10;0;0;0;0;0;0;10;10;0;0;10;10;10;10;2;2;2;10;10;10;10;10;10;10;10;0;0;10;10;10;0;10;10;0;10;10;10;0;8;8;0;8;8;10;10;10;8;16;10;50;38;8;2;;27;1;0;4;;5;1;1;2;213;0
