RecordDate;Duration_sec;ISO-3;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;SUM_GEN;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
18/05/2020 14:37;19;ARE;EN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;NA;;NA;NA;NA;NA;;NA;NA;NA;NA;;NA
18/05/2020 14:49;1105;ARE;EN;10;0;9;10;10;10;10;10;10;10;8;8;5;10;9;50;50;0;;8;6;0;NA;NA;9;1;1;1;1;NA;2;10;10;10;0;2;5;8;9;9;NA;9;10;9;9;8;5;7;8;3;7;3;2;9;NA;9;3;NA;NA;1;9;8;NA;0;8;8;0;7;9;6;70;80;NA;10;6;25;3 minutes;7;1;;26;1;0;1;;4;1;1;2;213;0
18/05/2020 23:44;875;ARE;EN;10;0;9;10;10;10;10;10;5;10;6;9;10;10;10;60;30;10;;8;8;8;7;10;10;10;6;1;6;7;6;5;7;8;7;7;10;6;6;7;10;10;10;10;6;10;10;10;10;7;7;8;5;10;7;8;0;8;8;2;7;9;10;10;9;10;10;8;8;10;20;20;8;6;7;1.5 cents;3 minutes;Every hour;1;;30;1;1;1;;11;1;1;2;213;8
19/05/2020 04:06;1451;ARE;EN;7;1;9;9;10;10;10;10;10;10;10;10;10;10;10;70;25;5;;3;4;8;7;5;10;9;9;NA;5;5;5;10;10;10;4;0;9;10;10;9;8;1;1;10;10;7;8;10;10;9;6;4;2;9;9;7;5;6;5;1;10;9;5;0;7;5;2;8;7;10;80;60;2;16;9;50;3 minutes;4;2;;23;2;0;3;;8;1;1;1;213;0
19/05/2020 04:29;6009;ARE;EN;7;4;7;2;3;3;3;10;6;10;3;3;0;6;3;70;15;15;;5;4;0;0;0;0;0;3;3;3;3;2;10;10;10;0;0;6;7;8;NA;3;7;3;7;10;10;10;10;7;8;10;1;3;7;4;7;3;7;7;0;10;10;2;0;8;8;0;6;6;NA;10;10;2;14;9;50;3 minutes;7 hr;2;;24;1;0;1;;6;1;1;1;213;0
19/05/2020 04:34;329135;ARE;EN;9;5;8;10;10;7;8;10;9;9;8;9;9;9;9;70;20;10;;8;6;5;5;5;10;5;5;5;5;5;5;10;9;10;1;1;5;9;8;8;7;10;3;9;9;8;9;8;8;8;8;2;1;9;2;7;5;8;7;7;10;9;5;1;7;8;1;7;8;10;40;70;5;8;8;50;900 minutes;4 hrs;2;;29;1;0;1;;6;1;1;2;213;7
19/05/2020 04:35;1710;ARE;EN;6;7;3;7;8;9;9;8;8;6;5;5;5;6;6;60;20;20;;10;9;7;6;6;7;8;5;5;5;5;10;7;8;7;5;5;8;9;7;8;5;8;10;9;10;8;10;10;9;8;7;6;6;7;7;9;2;9;7;5;10;10;8;2;7;6;0;7;8;9;50;50;6;6;9;50;300;4;1;;26;2;0;1;;4;1;1;1;213;0
19/05/2020 04:55;2915;ARE;EN;8;5;8;10;10;7;9;10;3;9;8;10;10;10;10;70;20;10;;6;6;8;7;8;9;9;5;5;5;5;2;9;9;10;2;3;9;9;10;10;8;NA;2;10;10;10;8;8;8;8;8;6;3;8;8;6;1;8;2;2;10;10;2;1;1;1;1;5;5;5;30;50;6;12;8;50;9004;2;2;;27;1;0;1;;10;1;1;2;Two hundred and thirteen;7
19/05/2020 05:31;2648;ARE;EN;10;0;5;9;9;8;8;9;9;10;10;8;8;8;9;50;30;20;;5;4;10;4;10;8;9;5;1;5;5;10;1;10;10;7;9;8;9;5;4;8;9;2;9;10;7;9;9;10;9;10;1;7;8;8;4;5;8;1;7;8;10;6;0;9;9;0;8;9;10;60;80;9;10;8;50;90000;;1;;26;2;0;3;;6;1;1;1;213;0
19/05/2020 05:33;6282;ARE;EN;8;6;8;8;10;10;10;10;7;10;1;1;1;1;1;50;40;10;;7;5;4;4;4;4;4;4;4;5;5;5;10;10;10;0;5;8;8;10;7;7;8;9;8;10;7;7;8;8;9;8;3;1;8;4;4;4;4;4;2;1;10;5;0;7;2;0;8;8;10;40;40;9;16;8;50;300 minutes;4 hours;1;;26;2;0;1;;7;1;1;1;213;0
19/05/2020 06:05;983;ARE;EN;0;0;0;10;10;10;10;9;9;9;6;6;7;9;9;40;30;30;;10;6;8;8;8;0;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;6;NA;6;5;4;6;0;5;7;9;9;9;7;7;6;1;8;10;9;0;8;8;0;6;6;6;6;6;6;5;5;NA;NA;20;40;3;1;10;;;;1;;28;1;NA;2;;1;1;2;1;213;6
19/05/2020 07:41;2259;ARE;EN;8;3;0;5;2;8;7;7;5;7;5;10;8;9;10;70;25;5;;7;8;8;8;9;7;7;8;5;9;9;6;8;8;10;7;8;5;6;5;6;5;6;6;5;8;8;7;8;9;5;9;8;1;7;4;8;8;8;8;5;6;8;5;2;6;5;2;6;9;8;20;60;5;11;10;50;300;;1;;33;3;1;1;;6;1;1;1;213;0
19/05/2020 07:50;1417;ARE;EN;10;2;9;9;10;9;8;10;9;10;9;9;9;9;10;65;20;15;;7;7;3;3;3;10;6;5;5;5;5;3;10;10;10;0;0;6;9;10;7;5;8;10;10;9;8;9;9;9;7;9;8;1;9;6;5;5;6;4;1;10;9;5;0;6;5;0;5;7;10;70;80;NA;14;6;25;3;7;2;;35;3;2;1;;5;1;1;1;213;0
19/05/2020 07:57;2697;ARE;EN;10;0;10;10;10;10;10;10;0;10;10;10;10;10;10;50;25;25;;0;10;0;2;2;0;0;4;10;0;0;0;10;10;10;0;10;8;9;10;8;0;0;8;10;8;10;10;8;10;9;10;7;0;10;0;10;0;10;7;8;10;10;10;5;10;10;0;0;10;10;80;80;7;14;8;50;1 minitues;4 hours;1;;31;3;1;2;;4;1;1;1;213;10
19/05/2020 08:20;14883;ARE;EN;10;0;6;10;10;10;10;10;0;0;10;10;10;10;10;50;30;20;;0;5;10;10;7;7;10;7;7;7;7;0;10;10;10;0;2;6;5;5;5;5;5;5;8;10;8;7;8;10;6;6;4;8;10;9;8;0;10;7;0;10;10;0;0;7;8;10;9;9;10;20;60;0;16;9;50;300;8hours;2;;27;1;0;3;;6;1;1;2;213;0
19/05/2020 09:50;3778;ARE;EN;3;1;8;9;10;3;3;7;2;8;8;10;10;10;10;50;25;25;;4;2;8;7;10;8;9;8;10;9;5;5;10;10;10;0;7;10;6;1;4;5;7;4;8;9;6;9;5;9;8;7;4;5;9;3;6;1;8;6;2;10;9;7;0;8;7;0;9;9;10;0;0;3;4;6;50 cents;300 minutes;4 hours;2;;21;2;0;4;;6;1;1;1;213;5
