"","RecordedDate","Duration_sec","Country","Language","physical_contact_1","physical_contact_2","physical_contact_3","physical_contact_4","physical_contact_5","physical_hygiene_1","physical_hygiene_2","physical_hygiene_3","physical_hygiene_4","physical_hygiene_5","policy_support_1","policy_support_2","policy_support_3","policy_support_4","policy_support_5","generosity_1","generosity_2","generosity_3","psych_wellbeing1","psych_wellbeing2","collective_narcis_1","collective_narcis_2","collective_narcis_3","national_identity_1","national_identity_2","Conspiracy_theories_1","Conspiracy_theories_2","Conspiracy_theories_3","Conspiracy_theories_4","open_mindedness_1","open_mindedness_2","open_mindedness_3","open_mindedness_4","open_mindness_5","open_mindness_6","morality_as_cooperat_1","morality_as_cooperat_2","morality_as_cooperat_3","morality_as_cooperat_4","morality_as_cooperat_5","morality_as_cooperat_6","morality_as_cooperat_7","trait_optimism_1","trait_optimism_2","social_belonging_1","social_belonging_2","social_belonging_3","social_belonging_4","trait_self_control_1","trait_self_control_2","trait_self_control_3","trait_self_control_4","self_esteem","narcissism_1","narcissism_2","narcissism_3","narcissism_4","narcissism_5","narcissism_6","Moral_ID_1","Moral_ID_2","Moral_ID_3","Moral_ID_4","Moral_ID_5","Moral_ID_6","Moral_ID_7","Moral_ID_8","Moral_ID_9","Moral_ID_10","risk_perception_1","risk_perception_2","political_ideology","moral_circle","health_cond","CRT1","CRT2","CRT3","sex","sex_other","age","marital_status","children","employ_status","employ_status_other","Ladder","urban","tested_positive","know_tested_positive","AttCheck_nobots","AttCheck2"
"32","02/05/2020 17:55",123,"MOROCCO","FRENCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",2,"",33,2,2,1,"",2,2,1,1,"",NA
"33","02/05/2020 18:08",1737,"MOROCCO","FRENCH",10,0,10,10,10,8,9,10,8,9,10,10,10,10,10,0,100,0,4,2,8,5,5,10,10,7,7,8,5,2,10,10,8,0,2,2,8,10,10,8,10,10,4,5,7,3,5,10,5,4,6,6,2,2,5,0,8,5,0,10,8,5,0,5,5,0,5,2,10,10,10,5,16,3,"50","3","7",2,"",38,1,0,1,"",7,1,1,2,"213",0
"34","02/05/2020 18:10",2396,"MOROCCO","FRENCH",9,0,0,7,10,6,10,9,2,8,9,10,9,10,8,60,0,40,6,7,7,2,8,9,6,3,2,2,1,4,1,NA,9,2,NA,4,7,9,9,NA,7,9,9,NA,8,7,8,9,8,9,7,1,6,5,4,5,9,9,7,10,7,1,8,9,8,1,3,10,10,20,10,4,NA,9,"25","3","7",1,"",28,1,0,1,"",4,1,1,1,"213",9
"35","02/05/2020 18:18",1822,"MOROCCO","FRENCH",10,1,10,10,10,6,10,10,7,9,10,10,10,10,5,0,90,10,2,5,8,8,5,10,10,7,7,5,5,4,10,10,10,5,9,7,5,10,10,5,10,10,6,4,7,9,9,6,5,8,9,9,3,5,7,0,6,0,5,8,9,9,5,5,8,4,8,7,10,0,50,3,16,10,"50","100","",2,"",18,1,0,4,"",6,3,1,1,"213",0
"36","02/05/2020 18:25",1748,"MOROCCO","FRENCH",10,0,10,10,10,10,10,10,9,9,10,10,8,10,10,0,100,0,8,8,5,10,10,10,10,0,0,0,0,2,9,9,9,0,0,7,9,10,10,2,1,0,10,10,10,10,10,9,9,9,2,0,8,1,8,0,8,9,0,10,8,8,0,9,9,0,10,10,10,0,10,5,16,7,"25","300","7",2,"",33,3,1,1,"",4,1,1,1,"213",0
"37","02/05/2020 18:27",1449,"MOROCCO","FRENCH",10,0,10,10,10,4,6,10,6,10,10,8,8,8,5,0,100,0,8,5,3,2,9,10,10,2,2,2,2,2,10,10,10,0,0,6,8,8,6,3,4,2,8,8,7,7,10,7,8,8,6,2,6,6,0,1,10,8,0,8,8,8,0,7,4,4,4,4,6,60,50,6,16,8,"50","3","7",2,"",36,3,2,6,"Entrepreneur",5,1,1,1,"213",8
"38","02/05/2020 18:27",1969,"MOROCCO","FRENCH",10,0,10,10,10,8,9,10,10,10,10,10,10,10,10,0,100,0,4,4,5,8,8,10,10,5,5,5,5,5,10,10,10,0,0,10,10,10,10,5,10,10,5,8,0,10,7,8,8,10,9,0,10,7,10,0,8,8,0,7,7,0,0,0,0,0,0,0,10,50,0,5,7,3,"25","100","",2,"",31,3,1,1,"",5,1,1,1,"213",0
"39","02/05/2020 18:28",2538,"MOROCCO","FRENCH",10,0,10,10,10,8,8,9,6,9,10,10,10,10,10,80,15,5,3,4,8,9,5,10,6,8,0,9,0,7,10,10,7,0,8,3,3,9,6,2,8,9,8,9,8,7,9,10,5,8,7,10,5,5,4,7,5,7,0,10,5,0,0,4,0,0,10,5,10,0,10,1,5,3,"25","3","7",2,"",20,1,0,4,"",6,1,1,1,"213",0
"40","02/05/2020 18:29",2235,"MOROCCO","FRENCH",10,0,9,10,10,9,10,10,10,10,10,10,10,10,8,0,100,0,8,8,5,5,5,8,10,1,0,0,0,2,10,10,10,0,0,8,9,7,8,5,8,9,9,10,9,8,9,10,4,8,9,4,8,3,5,1,5,5,1,8,8,0,0,5,5,1,0,2,8,0,10,1,16,8,"25","3","7",2,"",43,1,1,1,"",4,1,1,2,"213",0
"41","02/05/2020 18:40",3129,"MOROCCO","FRENCH",10,0,10,10,10,5,5,10,5,5,8,10,9,9,10,80,20,0,8,7,10,5,9,10,10,2,0,0,0,10,10,10,10,2,1,10,8,10,8,4,4,0,8,8,5,8,9,7,10,10,7,2,8,9,9,2,10,10,9,10,10,8,0,9,7,0,1,2,10,0,10,5,16,8,"25","3","7",2,"",54,1,0,3,"",6,1,1,1,"213",0
"42","02/05/2020 18:49",1663,"MOROCCO","FRENCH",10,0,10,9,10,7,9,10,8,10,8,10,10,10,10,60,35,5,8,8,5,5,5,10,10,5,5,5,5,3,10,10,10,0,0,5,7,9,5,5,5,7,8,8,8,8,8,8,7,7,4,3,8,4,5,1,6,3,1,8,7,5,2,7,5,2,2,7,8,50,50,5,12,8,"25","3","4",1,"",28,1,0,6,"Entrepreneur",5,1,1,1,"213",0
"43","02/05/2020 18:54",1593,"MOROCCO","FRENCH",7,0,10,10,10,9,8,10,8,9,9,9,8,8,9,65,30,5,9,8,8,8,9,10,10,1,1,1,1,9,9,9,9,5,9,8,7,4,8,4,3,2,9,9,7,7,7,8,8,7,7,2,3,4,6,1,2,4,5,8,8,8,8,7,6,8,8,8,9,10,10,5,8,7,"50","10","4",1,"",64,3,1,5,"",7,1,1,1,"213",7
"44","02/05/2020 19:00",1708,"MOROCCO","FRENCH",9,0,10,10,10,8,8,8,8,8,10,9,9,9,9,30,10,60,2,8,10,10,1,10,10,8,6,8,8,8,8,8,8,5,0,8,6,6,2,3,1,4,9,10,9,9,10,10,10,10,3,4,6,3,5,8,10,9,9,10,10,7,10,5,7,4,5,1,NA,60,40,5,5,9,"50","900","",1,"",30,3,0,1,"",6,1,1,1,"213",4
"45","02/05/2020 19:08",3178,"MOROCCO","FRENCH",10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,100,0,7,10,10,10,10,10,10,0,0,5,5,5,0,6,7,0,1,0,7,7,7,7,0,10,10,10,9,9,10,7,7,10,2,0,10,5,8,3,7,6,8,9,9,4,0,10,4,5,5,7,7,20,80,7,16,7,"50","300","4",1,"",24,1,0,4,"",5,1,1,1,"213",7
"46","02/05/2020 19:14",771,"MOROCCO","FRENCH",10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,90,10,7,7,5,5,10,10,10,0,0,0,0,0,10,10,10,0,0,10,10,NA,NA,NA,NA,NA,7,9,5,10,10,10,NA,9,NA,NA,10,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,2,1,5,"","","",2,"",31,1,0,6,"entrepreneur and psychologist",1,1,1,2,"213",NA
"47","02/05/2020 19:17",2929,"MOROCCO","FRENCH",9,1,10,10,10,10,10,10,10,10,10,10,10,10,10,50,30,20,6,6,9,9,9,10,10,5,2,2,1,3,10,10,10,3,0,9,9,9,9,5,8,10,10,10,9,9,9,9,10,10,3,5,9,8,10,0,9,9,4,10,10,9,0,9,9,0,7,3,10,0,20,5,16,9,"50","300","4",2,"",23,1,0,4,"",8,2,1,1,"213",0
"48","02/05/2020 19:22",3188,"MOROCCO","FRENCH",9,0,9,9,10,9,9,10,10,10,9,9,9,9,10,95,5,0,8,7,8,8,8,9,9,1,0,1,1,3,9,9,9,1,6,9,9,10,10,9,9,9,9,9,5,8,8,5,10,10,9,7,9,6,9,6,9,9,2,10,9,5,0,9,5,0,5,8,5,20,50,9,16,8,"25","3","7",1,"",54,3,3,1,"",3,1,1,1,"213",0
"49","02/05/2020 19:31",4715,"MOROCCO","FRENCH",10,0,10,10,10,8,8,8,8,7,10,10,10,10,10,70,30,0,6,5,9,8,8,9,9,8,5,8,5,5,9,10,9,1,0,8,9,8,8,5,8,8,9,9,7,7,8,8,9,9,3,3,8,0,7,5,7,5,5,8,5,3,0,4,2,2,1,1,8,NA,10,5,5,8,"25","3","7",2,"",57,1,0,5,"",3,1,1,1,"213",5
"50","02/05/2020 19:35",4902,"MOROCCO","FRENCH",10,0,10,10,10,10,8,10,10,10,10,10,10,10,10,60,40,0,3,3,5,5,1,10,10,7,0,0,1,1,10,10,10,0,2,7,5,10,10,5,8,10,8,7,3,8,8,2,8,10,7,3,10,5,7,0,7,5,6,8,9,4,0,6,6,1,2,8,8,50,50,6,1,6,"50","3","4",2,"",25,1,0,4,"",7,1,1,2,"213",0
