id,Country,Edu,SES,Minority,age,sex,mobile
10775,cn,5,4,2,21,2,0
10789,cn,4,10,2,33,1,1
10792,cn,6,5,2,34,1,0
10797,cn,6,6,2,30,1,0
10802,cn,6,7,2,42,1,0
10805,cn,6,8,2,40,2,1
10822,cn,6,6,2,35,2,1
10831,cn,6,5,2,24,1,1
10839,cn,7,5,2,20,1,1
10841,cn,4,3,2,30,1,1
10842,cn,6,7,2,27,2,0
10843,cn,6,7,2,30,1,0
10847,cn,3,4,2,19,1,1
10855,cn,,,,25,1,1
10856,cn,5,3,2,18,2,1
10871,cn,,,,18,2,1
10872,cn,5,6,,18,1,1
10876,cn,5,7,2,23,1,1
10879,cn,6,5,2,18,1,1
10886,cn,,,,27,1,1
10890,cn,3,5,,21,1,1
10892,cn,5,6,2,21,1,1
10897,cn,7,5,2,34,1,1
10899,cn,5,3,2,20,2,1
10904,cn,5,7,2,24,2,1
10905,cn,,,,23,1,1
10911,cn,5,6,2,50,1,1
10912,cn,5,5,2,19,1,1
10916,cn,4,1,2,18,1,1
10927,cn,4,3,2,21,2,1
10930,cn,6,3,2,24,1,1
10942,cn,5,4,1,21,1,0
10950,cn,5,10,2,21,2,1
10956,cn,,,,20,2,1
10957,cn,6,4,2,30,1,1
10967,cn,6,2,2,21,1,1
10968,cn,,,,18,1,1
10975,cn,5,6,2,21,2,0
10977,cn,6,7,2,20,1,1
10981,cn,7,3,2,47,2,0
10987,cn,,,,18,1,1
10998,cn,4,5,2,36,2,1
11000,cn,7,9,2,29,2,1
11001,cn,4,6,2,18,1,1
11019,cn,,,,37,2,0
11023,cn,6,7,2,28,1,1
11031,cn,,,,18,1,1
11033,cn,5,3,2,21,1,1
11036,cn,5,3,2,20,1,1
11057,cn,4,1,2,18,1,1
11058,cn,7,6,2,30,2,1
11061,cn,6,8,2,40,2,1
11063,cn,,,,31,2,0
11065,cn,7,3,2,34,1,0
11067,cn,,,,45,1,1
11069,cn,6,6,2,25,2,0
11071,cn,6,5,2,32,2,1
11076,cn,6,7,2,31,2,1
11082,cn,7,7,2,26,1,1
11083,cn,6,6,,25,1,1
11085,cn,6,1,2,43,1,0
11088,cn,6,5,2,45,2,0
11090,cn,7,2,2,30,1,1
11097,cn,6,5,2,26,2,1
11098,cn,,,,36,1,1
11107,cn,6,6,2,32,2,1
11111,cn,6,4,2,34,1,1
11119,cn,6,5,,22,2,1
11131,cn,5,7,2,19,2,0
11133,cn,5,4,2,22,1,1
11139,cn,,,,20,1,1
11142,cn,4,5,2,18,2,1
11146,cn,6,4,1,36,1,1
11147,cn,6,7,1,40,1,1
11152,cn,7,7,2,29,2,1
11163,cn,6,4,2,36,1,1
11176,cn,6,5,2,19,2,1
11180,cn,6,8,2,34,2,1
11194,cn,6,6,2,30,1,0
11203,cn,5,8,2,30,1,1
11210,cn,,,,35,1,0
11211,cn,,,,25,1,1
11216,cn,6,8,2,40,2,1
11223,cn,,,,51,2,0
11227,cn,6,4,2,37,1,0
11229,cn,6,8,2,20,2,0
11233,cn,6,5,2,34,2,1
11236,cn,,,,18,2,1
11240,cn,5,7,2,19,2,1
11242,cn,,,,24,1,1
11247,cn,,,,26,2,1
11249,cn,,,,37,2,1
11250,cn,7,8,2,34,1,0
11251,cn,,,,23,1,1
11252,cn,4,7,2,33,2,1
11254,cn,,,,32,1,0
11259,cn,6,6,2,28,1,0
11263,cn,6,1,2,24,1,0
11268,cn,6,3,2,36,2,1
11269,cn,6,5,2,20,1,1
11272,cn,,,,19,1,1
