"","condition","study_order","BL_adhere_1","BL_avoid_1","BL_avoid_2","BL_avoid_3","motiv_1","motiv_2","motiv_3","motiv_4","motiv_5","motiv_6","motiv_7","motiv_8","defy_1","defy_2","defy_3","defy_4","intention_1w","avoid_1w_1","avoid_1w_2","avoid_1w_3","intention_6m","avoid_6m_1","avoid_6m_2","avoid_6m_3","avoid_6m_4","avoid_6m_5","avoid_6m_6","avoid_6m_7","manip_1","r_manip_2","r_manip_3","age","gender","educ","essen_job","COUNID","month"
"121","no_message","003_only",7,7,6,7,2,6,6,7,1,3,7,7,1,5,1,1,7,7,7,7,12,24,12,24,12,24,24,24,5,3,5,19,"Female",NA,NA,"USA","April"
"122","controlling_message","003_only",7,7,6,7,6,7,7,7,4,4,7,7,1,2,1,1,7,7,7,7,24,24,15,24,24,24,24,24,2,3,3,19,"Male",NA,NA,"USA","April"
"123","autonomy_message","003_only",6,6,7,6,4,5,5,6,5,4,5,5,NA,5,6,5,7,3,5,4,5,23,7,24,13,6,9,9,5,4,4,20,"Male",3,NA,"USA","April"
"124","no_message","003_only",7,7,7,6,4,7,7,7,1,4,7,7,1,1,1,1,7,7,7,7,24,24,24,6,24,24,24,24,1,7,7,33,"Female",NA,NA,"USA","April"
"125","autonomy_message","003_only",2,4,7,5,7,7,1,7,5,1,7,6,5,6,1,4,5,6,4,5,4,3,12,19,1,11,3,1,6,3,2,49,"Male",NA,NA,"AUS","April"
"126","controlling_message","003_only",6,7,6,7,7,6,6,6,7,7,7,7,2,4,4,1,6,7,6,6,24,20,16,20,20,16,24,24,3,6,3,18,"Female",3,NA,"USA","April"
"127","controlling_message","003_only",7,7,7,7,3,7,7,7,6,5,7,7,3,5,4,4,7,7,7,7,16,16,20,24,12,12,4,4,6,2,3,22,"Female",NA,NA,"USA","April"
"128","controlling_message","003_only",6,6,1,1,5,6,2,4,1,4,5,6,3,5,1,2,6,7,6,7,20,24,24,24,24,24,24,24,1,1,2,20,"Male",NA,NA,"USA","April"
"129","controlling_message","003_only",4,2,3,3,5,4,4,5,5,6,5,5,5,6,5,5,NA,5,5,3,20,2,24,4,24,23,1,24,3,1,1,19,"Male",NA,NA,"USA","April"
"130","autonomy_message","003_only",7,7,6,7,7,7,7,6,7,7,6,7,1,6,5,1,7,7,7,7,NA,24,16,24,24,24,16,24,2,3,6,21,"Female",NA,2,"USA","April"
"131","no_message","003_only",6,6,6,6,6,3,3,3,6,6,3,3,5,7,7,6,7,7,7,7,6,6,6,10,24,6,8,6,2,1,2,20,"Male",NA,NA,"USA","April"
"132","controlling_message","003_only",6,7,7,7,7,7,7,7,7,7,7,7,1,1,1,4,7,7,7,7,24,24,24,24,24,24,24,24,7,4,4,21,"Female",NA,NA,"GBR","April"
"133","no_message","003_only",7,7,7,7,5,7,6,7,5,6,7,7,1,5,2,4,7,7,7,7,24,24,24,24,24,24,24,24,5,3,5,21,"Female",NA,NA,"USA","April"
"134","controlling_message","003_only",7,7,7,7,7,7,6,7,5,7,7,7,5,1,1,1,7,7,7,7,24,24,16,24,24,24,24,24,2,2,3,19,"Male",NA,NA,"USA","April"
"135","controlling_message","003_only",6,7,7,7,6,6,6,6,6,7,6,6,5,7,4,6,7,7,7,7,24,24,24,24,24,24,24,24,2,1,2,47,"Female",6,NA,"USA","April"
"136","autonomy_message","003_only",7,3,3,2,4,5,5,5,4,4,6,7,2,2,2,2,7,7,7,7,12,12,12,24,20,24,24,12,6,4,4,19,"Female",NA,NA,"USA","April"
"137","no_message","003_only",4,2,2,2,4,3,3,4,2,3,5,5,3,5,4,4,4,3,3,3,24,24,24,23,24,24,24,24,4,4,4,20,"Female",NA,NA,"USA","April"
"138","autonomy_message","003_only",6,7,6,7,3,4,5,4,7,5,6,7,4,6,6,6,6,4,6,7,11,21,12,24,7,18,23,14,5,5,2,23,"Female",NA,NA,"USA","April"
